PHONON_FREQUENCY,SPECTRALFLUX_AT_POSITION_200
0,0
0.482978,0
0.965956,0
1.44893,0
1.93191,0
2.41489,0
2.89787,0
3.38085,0
3.86382,0
4.3468,0
4.82978,0
5.31276,0
5.79574,0
6.27871,0
6.76169,0
7.24467,0
7.72765,0
8.21062,0
8.6936,0
9.17658,0
9.65956,0
10.1425,0
10.6255,0
11.1085,0
11.5915,0
12.0744,0
12.5574,0
13.0404,0
13.5234,0
14.0064,0
14.4893,0
14.9723,0
15.4553,0
15.9383,0
16.4212,0
16.9042,0
17.3872,0
17.8702,0
18.3532,0
18.8361,0
19.3191,0
19.8021,0
20.2851,0
20.7681,0
21.251,0
21.734,0
22.217,0
22.7,0
23.1829,0
23.6659,0
24.1489,0
24.6319,0
25.1149,0
25.5978,0
26.0808,0
26.5638,0
27.0468,0
27.5297,0
28.0127,0
28.4957,0
28.9787,0
29.4617,0
29.9446,0
30.4276,0
30.9106,0
31.3936,0
31.8765,0
32.3595,0
32.8425,0
33.3255,0
33.8085,0
34.2914,0
34.7744,0
35.2574,0
35.7404,0
36.2233,0
36.7063,0
37.1893,0
37.6723,0
38.1553,0
38.6382,0
39.1212,0
39.6042,0
40.0872,0
40.5701,0
41.0531,0
41.5361,0
42.0191,0
42.5021,0
42.985,0
43.468,0
43.951,0
44.434,0
44.9169,0
45.3999,0
45.8829,0
46.3659,0
46.8489,0
47.3318,0
47.8148,0
48.2978,0
48.7808,0
49.2637,0
49.7467,0
50.2297,0
50.7127,0
51.1957,0
51.6786,0
52.1616,0
52.6446,0
53.1276,0
53.6106,0
54.0935,0
54.5765,0
55.0595,0
55.5425,0
56.0254,0
56.5084,0
56.9914,0
57.4744,0
57.9574,0
58.4403,0
58.9233,0
59.4063,0
59.8893,0
60.3722,0
60.8552,0
61.3382,0
61.8212,0
62.3042,0
62.7871,0
63.2701,0
63.7531,0
64.2361,0
64.719,0
65.202,0
65.685,0
66.168,0
66.651,0
67.1339,0
67.6169,0
68.0999,0
68.5829,0
69.0658,0
69.5488,0
70.0318,0
70.5148,0
70.9978,0
71.4807,0
71.9637,0
72.4467,0
72.9297,0
73.4126,0
73.8956,0
74.3786,0
74.8616,0
75.3446,0
75.8275,0
76.3105,0
76.7935,0
77.2765,0
77.7594,0
78.2424,0
78.7254,0
79.2084,0
79.6914,0
80.1743,0
80.6573,0
81.1403,0
81.6233,0
82.1062,0
82.5892,0
83.0722,0
83.5552,0
84.0382,0
84.5211,0
85.0041,0
85.4871,0
85.9701,0
86.453,0
86.936,0
87.419,0
87.902,0
88.385,0
88.8679,0
89.3509,0
89.8339,0
90.3169,0
90.7999,0
91.2828,0
91.7658,0
92.2488,0
92.7318,0
93.2147,0
93.6977,0
94.1807,0
94.6637,0
95.1467,0
95.6296,0
96.1126,0
96.5956,0
97.0786,0
97.5615,0
98.0445,0
98.5275,0
99.0105,0
99.4935,0
99.9764,0
100.459,0
100.942,0
101.425,0
101.908,0
102.391,0
102.874,0
103.357,0
103.84,0
104.323,0
104.806,0
105.289,0
105.772,0
106.255,0
106.738,0
107.221,0
107.704,0
108.187,0
108.67,0
109.153,0
109.636,0
110.119,0
110.602,0
111.085,0
111.568,0
112.051,0
112.534,0
113.017,0
113.5,0
113.983,0
114.466,0
114.949,0
115.432,0
115.915,0
116.398,0
116.881,0
117.364,0
117.847,0
118.33,0
118.813,0
119.296,0
119.779,0
120.262,0
120.744,0
121.227,0
121.71,0
122.193,0
122.676,0
123.159,0
123.642,0
124.125,0
124.608,0
125.091,0
125.574,0
126.057,0
126.54,0
127.023,0
127.506,0
127.989,0
128.472,0
128.955,0
129.438,0
129.921,0
130.404,0
130.887,0
131.37,0
131.853,0
132.336,0
132.819,0
133.302,0
133.785,0
134.268,0
134.751,0
135.234,0
135.717,0
136.2,0
136.683,0
137.166,0
137.649,0
138.132,0
138.615,0
139.098,0
139.581,0
140.064,0
140.547,0
141.03,0
141.513,0
141.996,0
142.478,0
142.961,0
143.444,0
143.927,0
144.41,0
