PHONON_FREQUENCY,SPECTRALFLUX_AT_POSITION_178
0,0
0.482978,-41.6148
0.965956,1746.14
1.44893,14674.7
1.93191,33227.9
2.41489,44045.8
2.89787,55560
3.38085,91233.4
3.86382,172581
4.3468,309655
4.82978,490594
5.31276,685891
5.79574,882509
6.27871,1.10884e+06
6.76169,1.41135e+06
7.24467,1.80414e+06
7.72765,2.24283e+06
8.21062,2.64728e+06
8.6936,2.94944e+06
9.17658,3.12422e+06
9.65956,3.18722e+06
10.1425,3.17573e+06
10.6255,3.13419e+06
11.1085,3.10992e+06
11.5915,3.14924e+06
12.0744,3.28061e+06
12.5574,3.4948e+06
13.0404,3.74922e+06
13.5234,3.9974e+06
14.0064,4.2112e+06
14.4893,4.38084e+06
14.9723,4.51161e+06
15.4553,4.62492e+06
15.9383,4.74829e+06
16.4212,4.89636e+06
16.9042,5.06453e+06
17.3872,5.24186e+06
17.8702,5.42721e+06
18.3532,5.63154e+06
18.8361,5.86195e+06
19.3191,6.10055e+06
19.8021,6.30242e+06
20.2851,6.42407e+06
20.7681,6.46112e+06
21.251,6.45973e+06
21.734,6.49111e+06
22.217,6.60841e+06
22.7,6.81383e+06
23.1829,7.06303e+06
23.6659,7.31504e+06
24.1489,7.57867e+06
24.6319,7.88889e+06
25.1149,8.25095e+06
25.5978,8.63156e+06
26.0808,8.92924e+06
26.5638,9.16382e+06
27.0468,9.4377e+06
27.5297,9.66538e+06
28.0127,9.75888e+06
28.4957,9.71608e+06
28.9787,9.66498e+06
29.4617,9.70714e+06
29.9446,9.84416e+06
30.4276,1.00164e+07
30.9106,1.01809e+07
31.3936,1.03328e+07
31.8765,1.0434e+07
32.3595,1.04507e+07
32.8425,1.04298e+07
33.3255,1.04179e+07
33.8085,1.04262e+07
34.2914,1.04441e+07
34.7744,1.04417e+07
35.2574,1.03829e+07
35.7404,1.02423e+07
36.2233,1.00415e+07
36.7063,9.85932e+06
37.1893,9.74462e+06
37.6723,9.65351e+06
38.1553,9.55529e+06
38.6382,9.53321e+06
39.1212,9.66528e+06
39.6042,9.89539e+06
40.0872,1.01426e+07
40.5701,1.04577e+07
41.0531,1.07789e+07
41.5361,1.07729e+07
42.0191,1.05623e+07
42.5021,1.02513e+07
42.985,9.96837e+06
43.468,9.6728e+06
43.951,9.36379e+06
44.434,9.04666e+06
44.9169,8.75195e+06
45.3999,8.52349e+06
45.8829,8.36927e+06
46.3659,8.26783e+06
46.8489,8.20116e+06
47.3318,8.14776e+06
47.8148,8.06713e+06
48.2978,7.9104e+06
48.7808,7.65074e+06
49.2637,7.31531e+06
49.7467,6.96023e+06
50.2297,6.63499e+06
50.7127,6.39059e+06
51.1957,6.27101e+06
51.6786,6.35941e+06
52.1616,6.56193e+06
52.6446,6.69841e+06
53.1276,6.64471e+06
53.6106,6.36009e+06
54.0935,5.92013e+06
54.5765,5.4574e+06
55.0595,5.06318e+06
55.5425,4.75799e+06
56.0254,4.52608e+06
56.5084,4.34917e+06
56.9914,4.2214e+06
57.4744,4.13774e+06
57.9574,4.06945e+06
58.4403,3.98722e+06
58.9233,3.89124e+06
59.4063,3.78261e+06
59.8893,3.64638e+06
60.3722,3.48048e+06
60.8552,3.32794e+06
61.3382,3.27483e+06
61.8212,3.3129e+06
62.3042,3.32827e+06
62.7871,3.26308e+06
63.2701,3.13263e+06
63.7531,2.96887e+06
64.2361,2.80641e+06
64.719,2.6875e+06
65.202,2.62978e+06
65.685,2.60437e+06
66.168,2.56736e+06
66.651,2.51666e+06
67.1339,2.46366e+06
67.6169,2.42788e+06
68.0999,2.44523e+06
68.5829,2.54181e+06
69.0658,2.71556e+06
69.5488,2.93727e+06
70.0318,3.16188e+06
70.5148,3.34392e+06
70.9978,3.45526e+06
71.4807,3.48325e+06
71.9637,3.41821e+06
72.4467,3.27336e+06
72.9297,3.12432e+06
73.4126,3.08121e+06
73.8956,3.09302e+06
74.3786,3.03639e+06
74.8616,2.94548e+06
75.3446,2.86603e+06
75.8275,2.80709e+06
76.3105,2.74985e+06
76.7935,2.786e+06
77.2765,2.74494e+06
77.7594,2.73037e+06
78.2424,2.67981e+06
78.7254,2.50008e+06
79.2084,2.19878e+06
79.6914,1.9606e+06
80.1743,1.83151e+06
80.6573,1.7642e+06
81.1403,1.70294e+06
81.6233,1.63443e+06
82.1062,1.5875e+06
82.5892,1.58199e+06
83.0722,1.59613e+06
83.5552,1.58874e+06
84.0382,1.52716e+06
84.5211,1.39979e+06
85.0041,1.22978e+06
85.4871,1.06309e+06
85.9701,932115
86.453,838987
86.936,761658
87.419,672150
87.902,557333
88.385,374599
88.8679,206478
89.3509,191389
89.8339,187055
90.3169,283290
90.7999,340943
91.2828,-438007
91.7658,-101344
92.2488,470491
92.7318,516959
93.2147,884157
93.6977,336824
94.1807,-108360
94.6637,-233909
95.1467,118326
95.6296,440575
96.1126,605689
96.5956,532886
97.0786,244979
97.5615,216244
98.0445,378148
98.5275,393190
99.0105,409203
99.4935,498813
99.9764,791160
100.459,1.26982e+06
100.942,1.64768e+06
101.425,1.8968e+06
101.908,2.00591e+06
102.391,2.02202e+06
102.874,2.00554e+06
103.357,1.97324e+06
103.84,1.97086e+06
104.323,2.0113e+06
104.806,2.03928e+06
105.289,1.98619e+06
105.772,1.80503e+06
106.255,1.49318e+06
106.738,1.12105e+06
107.221,845111
107.704,790925
108.187,846279
108.67,855202
109.153,805395
109.636,644028
110.119,413362
110.602,243412
111.085,172006
111.568,1719.05
112.051,-237747
112.534,-279587
113.017,-66356
113.5,125148
113.983,78366.8
114.466,27551.6
114.949,7437.27
115.432,1830.4
115.915,320.434
116.398,38.6774
116.881,3.32324
117.364,0.210102
117.847,0.00967467
118.33,0.000289542
118.813,2.57222e-06
119.296,-2.69764e-07
119.779,-1.89772e-08
120.262,-7.56961e-10
120.744,-2.22301e-11
121.227,-5.16165e-13
121.71,-9.77697e-15
122.193,-1.5343e-16
122.676,-1.98716e-18
123.159,-1.99581e-20
123.642,-1.03852e-22
124.125,1.63604e-24
124.608,6.93656e-26
125.091,1.56003e-27
125.574,2.76438e-29
126.057,4.18666e-31
126.54,5.57887e-33
127.023,6.62628e-35
127.506,7.06145e-37
127.989,6.77634e-39
128.472,5.86842e-41
128.955,4.59305e-43
129.438,3.25241e-45
129.921,2.08558e-47
130.404,1.21205e-49
130.887,6.38882e-52
131.37,3.05671e-54
131.853,1.32845e-56
132.336,5.2483e-59
132.819,1.88625e-61
133.302,6.17185e-64
133.785,1.83996e-66
134.268,5.00185e-69
134.751,1.24093e-71
135.234,2.81223e-74
135.717,5.82734e-77
136.2,1.1053e-79
136.683,1.9214e-82
137.166,3.06566e-85
137.649,4.49758e-88
138.132,6.08106e-91
138.615,7.60134e-94
139.098,8.82492e-97
139.581,9.58555e-100
140.064,9.86196e-103
140.547,9.81542e-106
141.03,9.77356e-109
141.513,1.01688e-111
141.996,1.145e-114
142.478,1.39838e-117
142.961,1.79649e-120
143.444,2.59054e-123
143.927,8.42411e-125
144.41,2.52803e-125
