PHONON_FREQUENCY,SPECTRALFLUX_AT_POSITION_91
0,0
0.482978,4657.46
0.965956,22617.7
1.44893,45005.6
1.93191,74246.4
2.41489,114312
2.89787,170193
3.38085,256331
3.86382,390709
4.3468,575907
4.82978,790595
5.31276,1.02065e+06
5.79574,1.2865e+06
6.27871,1.62581e+06
6.76169,2.0736e+06
7.24467,2.65202e+06
7.72765,3.33657e+06
8.21062,4.03346e+06
8.6936,4.63143e+06
9.17658,5.08756e+06
9.65956,5.44274e+06
10.1425,5.76271e+06
10.6255,6.08809e+06
11.1085,6.43528e+06
11.5915,6.82451e+06
12.0744,7.28357e+06
12.5574,7.80544e+06
13.0404,8.31066e+06
13.5234,8.72067e+06
14.0064,9.07637e+06
14.4893,9.43802e+06
14.9723,9.81142e+06
15.4553,1.02345e+07
15.9383,1.0625e+07
16.4212,1.08307e+07
16.9042,1.07601e+07
17.3872,1.06869e+07
17.8702,1.07787e+07
18.3532,1.10419e+07
18.8361,1.14612e+07
19.3191,1.20264e+07
19.8021,1.2814e+07
20.2851,1.38759e+07
20.7681,1.49285e+07
21.251,1.55918e+07
21.734,1.56593e+07
22.217,1.54079e+07
22.7,1.515e+07
23.1829,1.49963e+07
23.6659,1.46696e+07
24.1489,1.43311e+07
24.6319,1.41879e+07
25.1149,1.4341e+07
25.5978,1.4456e+07
26.0808,1.42792e+07
26.5638,1.38076e+07
27.0468,1.35847e+07
27.5297,1.39689e+07
28.0127,1.43892e+07
28.4957,1.42189e+07
28.9787,1.36632e+07
29.4617,1.31983e+07
29.9446,1.30327e+07
30.4276,1.28547e+07
30.9106,1.26275e+07
31.3936,1.24413e+07
31.8765,1.22354e+07
32.3595,1.18678e+07
32.8425,1.14602e+07
33.3255,1.06549e+07
33.8085,9.56411e+06
34.2914,8.87035e+06
34.7744,8.47026e+06
35.2574,8.60416e+06
35.7404,8.83073e+06
36.2233,9.01945e+06
36.7063,9.35769e+06
37.1893,9.56273e+06
37.6723,9.62421e+06
38.1553,9.54947e+06
38.6382,9.26269e+06
39.1212,8.9385e+06
39.6042,8.84044e+06
40.0872,8.949e+06
40.5701,9.06356e+06
41.0531,9.00887e+06
41.5361,8.7686e+06
42.0191,8.42058e+06
42.5021,7.90547e+06
42.985,7.13595e+06
43.468,6.3655e+06
43.951,5.9052e+06
44.434,5.82939e+06
44.9169,5.90255e+06
45.3999,5.7325e+06
45.8829,5.55734e+06
46.3659,5.28071e+06
46.8489,4.81296e+06
47.3318,4.5409e+06
47.8148,4.4095e+06
48.2978,4.26403e+06
48.7808,4.17223e+06
49.2637,3.91861e+06
49.7467,3.61165e+06
50.2297,3.19742e+06
50.7127,2.78003e+06
51.1957,2.36992e+06
51.6786,1.88754e+06
52.1616,1.49941e+06
52.6446,1.16464e+06
53.1276,991766
53.6106,1.32167e+06
54.0935,1.85476e+06
54.5765,2.4289e+06
55.0595,2.38751e+06
55.5425,2.06152e+06
56.0254,1.60751e+06
56.5084,1.28061e+06
56.9914,1.20408e+06
57.4744,1.65893e+06
57.9574,2.34307e+06
58.4403,2.68836e+06
58.9233,2.03244e+06
59.4063,966256
59.8893,641996
60.3722,699468
60.8552,702780
61.3382,539465
61.8212,696710
62.3042,682174
62.7871,424758
63.2701,279601
63.7531,502544
64.2361,924406
64.719,1.34288e+06
65.202,1.37778e+06
65.685,1.18754e+06
66.168,1.07302e+06
66.651,941837
67.1339,675943
67.6169,364763
68.0999,209032
68.5829,319897
69.0658,622061
69.5488,932397
70.0318,1.02224e+06
70.5148,937550
70.9978,1.07991e+06
71.4807,1.34782e+06
71.9637,1.39466e+06
72.4467,1.21995e+06
72.9297,755703
73.4126,914482
73.8956,758865
74.3786,521308
74.8616,517551
75.3446,305810
75.8275,147004
76.3105,16533.1
76.7935,3735.61
77.2765,130591
77.7594,66976.8
78.2424,-36284.3
78.7254,59330.1
79.2084,137614
79.6914,-64031.9
80.1743,-377543
80.6573,-421274
81.1403,-410792
81.6233,-450452
82.1062,-264714
82.5892,8317.71
83.0722,100325
83.5552,305387
84.0382,247262
84.5211,278094
85.0041,478464
85.4871,561720
85.9701,426083
86.453,258607
86.936,148251
87.419,124001
87.902,241423
88.385,486000
88.8679,751776
89.3509,951483
89.8339,1.07167e+06
90.3169,1.09523e+06
90.7999,1.06535e+06
91.2828,1.0687e+06
91.7658,1.13157e+06
92.2488,1.23841e+06
92.7318,1.27302e+06
93.2147,1.13495e+06
93.6977,907816
94.1807,609568
94.6637,444107
95.1467,568757
95.6296,618840
96.1126,686299
96.5956,723404
97.0786,690233
97.5615,610280
98.0445,551132
98.5275,548152
99.0105,539911
99.4935,519562
99.9764,485901
100.459,412348
100.942,320266
101.425,225091
101.908,100898
102.391,-63639.2
102.874,-153639
103.357,-145177
103.84,-19820.2
104.323,101219
104.806,126157
105.289,15009.2
105.772,-218903
106.255,-480923
106.738,-604243
107.221,-539716
107.704,-358132
108.187,-283265
108.67,-365306
109.153,-193647
109.636,-125991
110.119,25649.7
110.602,318602
111.085,480709
111.568,334181
112.051,84132.1
112.534,-5131.46
113.017,4809.45
113.5,138051
113.983,365700
114.466,630770
114.949,915742
115.432,879874
115.915,399653
116.398,34715.6
116.881,96590.2
117.364,421494
117.847,693479
118.33,699781
118.813,566953
119.296,353227
119.779,281136
120.262,461895
120.744,660413
121.227,806712
121.71,818226
122.193,685253
122.676,533079
123.159,404190
123.642,465433
124.125,584896
124.608,583668
125.091,581923
125.574,470642
126.057,357073
126.54,294808
127.023,194618
127.506,-13934.1
127.989,-113247
128.472,96896.2
128.955,577935
129.438,773023
129.921,628358
130.404,453724
130.887,453496
131.37,420690
131.853,347053
132.336,297850
132.819,290844
133.302,286945
133.785,212285
134.268,112384
134.751,79095.2
135.234,73905.8
135.717,37852.6
136.2,-32203
136.683,-77622.8
137.166,-50283
137.649,8107.92
138.132,26835.3
138.615,7352.68
139.098,-7413.31
139.581,-8869.14
140.064,-13011.1
140.547,-22682.9
141.03,-25990
141.513,-16485.6
141.996,-1936.4
142.478,2937.93
142.961,-12408.3
143.444,-39274.4
143.927,-52305.1
144.41,-42241.8
