PHONON_FREQUENCY,SPECTRALFLUX_AT_POSITION_49
0,0
0.482978,15097.6
0.965956,71222.9
1.44893,130565
1.93191,203045
2.41489,327329
2.89787,521869
3.38085,768274
3.86382,1.02345e+06
4.3468,1.25143e+06
4.82978,1.45312e+06
5.31276,1.67415e+06
5.79574,1.981e+06
6.27871,2.4321e+06
6.76169,3.07029e+06
7.24467,3.90233e+06
7.72765,4.85786e+06
8.21062,5.79177e+06
8.6936,6.5739e+06
9.17658,7.19015e+06
9.65956,7.72593e+06
10.1425,8.2606e+06
10.6255,8.81547e+06
11.1085,9.40777e+06
11.5915,1.01012e+07
12.0744,1.09348e+07
12.5574,1.18133e+07
13.0404,1.25203e+07
13.5234,1.2898e+07
14.0064,1.30096e+07
14.4893,1.29508e+07
14.9723,1.28654e+07
15.4553,1.29535e+07
15.9383,1.31566e+07
16.4212,1.32657e+07
16.9042,1.32346e+07
17.3872,1.32587e+07
17.8702,1.33848e+07
18.3532,1.35881e+07
18.8361,1.3802e+07
19.3191,1.39023e+07
19.8021,1.40884e+07
20.2851,1.47804e+07
20.7681,1.58214e+07
21.251,1.69265e+07
21.734,1.78001e+07
22.217,1.79144e+07
22.7,1.72396e+07
23.1829,1.60189e+07
23.6659,1.4808e+07
24.1489,1.39848e+07
24.6319,1.36216e+07
25.1149,1.36395e+07
25.5978,1.37817e+07
26.0808,1.38122e+07
26.5638,1.39772e+07
27.0468,1.40396e+07
27.5297,1.41291e+07
28.0127,1.40647e+07
28.4957,1.39658e+07
28.9787,1.35582e+07
29.4617,1.28358e+07
29.9446,1.22411e+07
30.4276,1.19016e+07
30.9106,1.17465e+07
31.3936,1.16328e+07
31.8765,1.12695e+07
32.3595,1.04376e+07
32.8425,9.46564e+06
33.3255,8.57242e+06
33.8085,7.85004e+06
34.2914,7.54357e+06
34.7744,7.86973e+06
35.2574,8.55447e+06
35.7404,8.82093e+06
36.2233,8.56938e+06
36.7063,8.32807e+06
37.1893,7.94999e+06
37.6723,7.60354e+06
38.1553,7.37981e+06
38.6382,7.19179e+06
39.1212,7.06694e+06
39.6042,6.95123e+06
40.0872,6.80726e+06
40.5701,6.64911e+06
41.0531,6.50018e+06
41.5361,6.32762e+06
42.0191,5.97232e+06
42.5021,5.44933e+06
42.985,4.98277e+06
43.468,4.53623e+06
43.951,4.21448e+06
44.434,4.16643e+06
