PHONON_FREQUENCY,SPECTRALFLUX_AT_POSITION_149
0,0
0.482978,-181.224
0.965956,-3115.48
1.44893,-8894.72
1.93191,-12891.5
2.41489,-9532
2.89787,11272.6
3.38085,61825.1
3.86382,153766
4.3468,295833
4.82978,479675
5.31276,676226
5.79574,869883
6.27871,1.08791e+06
6.76169,1.37778e+06
7.24467,1.7568e+06
7.72765,2.18854e+06
8.21062,2.60408e+06
8.6936,2.94156e+06
9.17658,3.17238e+06
9.65956,3.30403e+06
10.1425,3.36405e+06
10.6255,3.37945e+06
11.1085,3.37794e+06
11.5915,3.4058e+06
12.0744,3.51305e+06
12.5574,3.70957e+06
13.0404,3.95792e+06
13.5234,4.21502e+06
14.0064,4.46457e+06
14.4893,4.70727e+06
14.9723,4.93857e+06
15.4553,5.14796e+06
15.9383,5.33184e+06
16.4212,5.49578e+06
16.9042,5.6427e+06
17.3872,5.76651e+06
17.8702,5.8637e+06
18.3532,5.94732e+06
18.8361,6.03964e+06
19.3191,6.14796e+06
19.8021,6.25458e+06
20.2851,6.33756e+06
20.7681,6.40055e+06
21.251,6.48015e+06
21.734,6.62518e+06
22.217,6.86494e+06
22.7,7.18583e+06
23.1829,7.5387e+06
23.6659,7.88137e+06
24.1489,8.20999e+06
24.6319,8.53257e+06
25.1149,8.84224e+06
25.5978,9.14402e+06
26.0808,9.45524e+06
26.5638,9.76977e+06
27.0468,1.01083e+07
27.5297,1.04199e+07
28.0127,1.05788e+07
28.4957,1.05848e+07
28.9787,1.05467e+07
29.4617,1.05921e+07
29.9446,1.07334e+07
30.4276,1.08802e+07
30.9106,1.09698e+07
31.3936,1.10169e+07
31.8765,1.10306e+07
32.3595,1.09895e+07
32.8425,1.08746e+07
33.3255,1.06724e+07
33.8085,1.037e+07
34.2914,1.00137e+07
34.7744,9.71183e+06
35.2574,9.52968e+06
35.7404,9.46177e+06
36.2233,9.48405e+06
36.7063,9.5711e+06
37.1893,9.67745e+06
37.6723,9.75274e+06
38.1553,9.80306e+06
38.6382,9.91094e+06
39.1212,1.01478e+07
39.6042,1.04712e+07
40.0872,1.07472e+07
40.5701,1.09302e+07
41.0531,1.09627e+07
41.5361,1.08581e+07
42.0191,1.08793e+07
42.5021,1.07813e+07
42.985,1.05043e+07
43.468,1.01996e+07
43.951,9.90551e+06
44.434,9.65362e+06
44.9169,9.48424e+06
45.3999,9.37772e+06
45.8829,9.2582e+06
46.3659,9.07054e+06
46.8489,8.8225e+06
47.3318,8.55619e+06
47.8148,8.28224e+06
48.2978,7.95376e+06
48.7808,7.53607e+06
49.2637,7.09348e+06
49.7467,6.75829e+06
50.2297,6.58926e+06
50.7127,6.5058e+06
51.1957,6.39573e+06
51.6786,6.2609e+06
52.1616,6.09116e+06
52.6446,5.79576e+06
53.1276,5.40167e+06
53.6106,5.03576e+06
54.0935,4.77972e+06
54.5765,4.63046e+06
55.0595,4.54373e+06
55.5425,4.47804e+06
56.0254,4.42454e+06
56.5084,4.39464e+06
56.9914,4.37554e+06
57.4744,4.31863e+06
57.9574,4.26397e+06
58.4403,4.17567e+06
58.9233,4.0691e+06
59.4063,3.9193e+06
59.8893,3.73844e+06
60.3722,3.60098e+06
60.8552,3.48386e+06
61.3382,3.31376e+06
61.8212,3.13692e+06
62.3042,3.05522e+06
62.7871,3.05021e+06
63.2701,3.04841e+06
63.7531,3.02567e+06
64.2361,3.00149e+06
64.719,2.98811e+06
65.202,2.97612e+06
65.685,2.95192e+06
66.168,2.90305e+06
66.651,2.82721e+06
67.1339,2.7428e+06
67.6169,2.66144e+06
68.0999,2.59395e+06
68.5829,2.56245e+06
69.0658,2.58172e+06
69.5488,2.64231e+06
70.0318,2.71736e+06
70.5148,2.78033e+06
70.9978,2.80744e+06
71.4807,2.77504e+06
71.9637,2.67994e+06
72.4467,2.55992e+06
72.9297,2.46596e+06
73.4126,2.41603e+06
73.8956,2.3941e+06
74.3786,2.346e+06
74.8616,2.27818e+06
75.3446,2.24582e+06
75.8275,2.24664e+06
76.3105,2.28878e+06
76.7935,2.36679e+06
77.2765,2.33437e+06
77.7594,2.18201e+06
78.2424,2.12257e+06
78.7254,2.19876e+06
79.2084,2.25643e+06
79.6914,2.28651e+06
80.1743,2.2628e+06
80.6573,2.15285e+06
81.1403,1.95861e+06
81.6233,1.69272e+06
82.1062,1.3887e+06
82.5892,1.11772e+06
83.0722,937596
83.5552,837990
84.0382,773959
84.5211,694158
85.0041,579621
85.4871,488454
85.9701,452522
86.453,459887
86.936,476072
87.419,463014
87.902,388697
88.385,317123
88.8679,345473
89.3509,223473
89.8339,90487.5
90.3169,-192625
90.7999,-571381
91.2828,-751965
91.7658,-351080
92.2488,352865
92.7318,925715
93.2147,1.62818e+06
93.6977,2.29285e+06
94.1807,2.03901e+06
94.6637,1.66542e+06
95.1467,889477
95.6296,-77721.6
96.1126,-480401
96.5956,-175170
97.0786,81017.5
97.5615,167233
98.0445,260275
98.5275,376121
99.0105,417531
99.4935,492697
99.9764,586606
100.459,758187
100.942,989825
101.425,1.30966e+06
101.908,1.65674e+06
102.391,1.9175e+06
102.874,2.01007e+06
103.357,1.92981e+06
103.84,1.78819e+06
104.323,1.63041e+06
104.806,1.4237e+06
105.289,1.1276e+06
105.772,735762
106.255,325216
106.738,2992.06
107.221,-158257
107.704,-134619
108.187,-19388
108.67,17682.1
109.153,-38217.4
109.636,-49124.9
110.119,36735.3
110.602,122707
111.085,153991
111.568,179314
112.051,349802
112.534,476749
113.017,405692
113.5,229156
113.983,82275
114.466,50683
114.949,12790
115.432,854.854
115.915,11.9693
116.398,2.48389
116.881,0.531708
117.364,0.0480174
117.847,0.00230857
118.33,4.61508e-05
118.813,-1.4402e-06
119.296,-1.52905e-07
119.779,-6.77967e-09
120.262,-2.1288e-10
120.744,-5.4357e-12
121.227,-1.21213e-13
121.71,-2.45678e-15
122.193,-4.5783e-17
122.676,-7.69327e-19
123.159,-1.10512e-20
123.642,-1.20308e-22
124.125,-5.59319e-25
124.608,1.47424e-26
125.091,5.4083e-28
125.574,1.12601e-29
126.057,1.83229e-31
126.54,2.52322e-33
127.023,3.0366e-35
127.506,3.24396e-37
127.989,3.10162e-39
128.472,2.66617e-41
128.955,2.06584e-43
129.438,1.44507e-45
129.921,9.13506e-48
130.404,5.22255e-50
130.887,2.70177e-52
131.37,1.26533e-54
131.853,5.36664e-57
132.336,2.0618e-59
132.819,7.1761e-62
133.302,2.26258e-64
133.785,6.46062e-67
134.268,1.66976e-69
134.751,3.90215e-72
135.234,8.23215e-75
135.717,1.56363e-77
136.2,2.6626e-80
136.683,4.03552e-83
137.166,5.37381e-86
137.649,6.12485e-89
138.132,5.60272e-92
138.615,3.22417e-95
139.098,-1.24366e-98
139.581,-7.6107e-101
140.064,-1.55118e-103
140.547,-2.49577e-106
141.03,-3.69771e-109
141.513,-5.40287e-112
141.996,-7.99016e-115
142.478,-1.18978e-117
142.961,-1.74844e-120
143.444,-2.20125e-123
143.927,8.69397e-125
144.41,2.80954e-125
