PHONON_FREQUENCY,SPECTRALFLUX_AT_POSITION_96
0,0
0.482978,1760.22
0.965956,9263.07
1.44893,22411.6
1.93191,43075.2
2.41489,67176.6
2.89787,95519.4
3.38085,147304
3.86382,249634
4.3468,411839
4.82978,615320
5.31276,842118
5.79574,1.102e+06
6.27871,1.41604e+06
6.76169,1.80251e+06
7.24467,2.28448e+06
7.72765,2.8603e+06
8.21062,3.46425e+06
8.6936,3.99929e+06
9.17658,4.41106e+06
9.65956,4.71139e+06
10.1425,4.94384e+06
10.6255,5.1513e+06
11.1085,5.37464e+06
11.5915,5.66636e+06
12.0744,6.07203e+06
12.5574,6.57165e+06
13.0404,7.08324e+06
13.5234,7.51206e+06
14.0064,7.8185e+06
14.4893,8.06846e+06
14.9723,8.25232e+06
15.4553,8.48317e+06
15.9383,8.80876e+06
16.4212,9.033e+06
16.9042,8.99237e+06
17.3872,8.78652e+06
17.8702,8.67866e+06
18.3532,8.87727e+06
18.8361,9.45819e+06
19.3191,1.0169e+07
19.8021,1.08935e+07
20.2851,1.18084e+07
20.7681,1.25509e+07
21.251,1.30676e+07
21.734,1.3297e+07
22.217,1.31571e+07
22.7,1.30243e+07
23.1829,1.3116e+07
23.6659,1.31746e+07
24.1489,1.32639e+07
24.6319,1.35834e+07
25.1149,1.39589e+07
25.5978,1.41733e+07
26.0808,1.40432e+07
26.5638,1.37556e+07
27.0468,1.34886e+07
27.5297,1.34382e+07
28.0127,1.3725e+07
28.4957,1.40934e+07
28.9787,1.39431e+07
29.4617,1.33113e+07
29.9446,1.2897e+07
30.4276,1.28496e+07
30.9106,1.27673e+07
31.3936,1.24695e+07
31.8765,1.20562e+07
32.3595,1.1678e+07
32.8425,1.11373e+07
33.3255,1.04615e+07
33.8085,9.84381e+06
34.2914,9.19311e+06
34.7744,8.91433e+06
35.2574,9.03356e+06
35.7404,9.38973e+06
36.2233,9.47897e+06
36.7063,9.57036e+06
37.1893,9.72706e+06
37.6723,9.82049e+06
38.1553,9.6461e+06
38.6382,9.34193e+06
39.1212,9.10656e+06
39.6042,9.17939e+06
40.0872,9.45358e+06
40.5701,9.65342e+06
41.0531,9.55808e+06
41.5361,9.23749e+06
42.0191,8.88168e+06
42.5021,8.48804e+06
42.985,7.9374e+06
