PHONON_FREQUENCY,SPECTRALFLUX_AT_POSITION_23
0,0
0.482978,22025.6
0.965956,102128
1.44893,176885
1.93191,251086
2.41489,379339
2.89787,593933
3.38085,873342
3.86382,1.15809e+06
4.3468,1.40015e+06
4.82978,1.60302e+06
5.31276,1.81845e+06
5.79574,2.11017e+06
6.27871,2.5287e+06
6.76169,3.11433e+06
7.24467,3.88286e+06
7.72765,4.78197e+06
8.21062,5.68481e+06
8.6936,6.47105e+06
9.17658,7.12661e+06
9.65956,7.73159e+06
10.1425,8.34807e+06
10.6255,8.96138e+06
11.1085,9.55242e+06
11.5915,1.01795e+07
12.0744,1.0906e+07
12.5574,1.16553e+07
13.0404,1.22427e+07
13.5234,1.25593e+07
14.0064,1.26529e+07
14.4893,1.27213e+07
14.9723,1.28999e+07
15.4553,1.32075e+07
15.9383,1.34909e+07
16.4212,1.35477e+07
16.9042,1.33539e+07
17.3872,1.31421e+07
17.8702,1.3046e+07
18.3532,1.30561e+07
18.8361,1.31203e+07
19.3191,1.31671e+07
19.8021,1.33577e+07
20.2851,1.38812e+07
20.7681,1.47323e+07
21.251,1.58108e+07
21.734,1.6649e+07
22.217,1.67606e+07
22.7,1.63288e+07
23.1829,1.56349e+07
23.6659,1.49938e+07
24.1489,1.46492e+07
24.6319,1.46494e+07
25.1149,1.48489e+07
25.5978,1.47921e+07
26.0808,1.43837e+07
26.5638,1.40201e+07
27.0468,1.39043e+07
27.5297,1.38288e+07
28.0127,1.36965e+07
28.4957,1.31844e+07
28.9787,1.29243e+07
29.4617,1.26156e+07
29.9446,1.23346e+07
30.4276,1.19957e+07
30.9106,1.15186e+07
31.3936,1.10607e+07
31.8765,1.05782e+07
32.3595,9.94511e+06
32.8425,9.10693e+06
33.3255,8.5042e+06
33.8085,7.83213e+06
34.2914,7.51252e+06
34.7744,7.57429e+06
35.2574,7.80064e+06
35.7404,8.07116e+06
36.2233,8.2258e+06
36.7063,8.2163e+06
37.1893,8.11762e+06
37.6723,7.92267e+06
38.1553,7.73716e+06
38.6382,7.44317e+06
39.1212,7.21085e+06
39.6042,7.11861e+06
40.0872,7.24274e+06
40.5701,7.46074e+06
41.0531,7.57779e+06
41.5361,7.51733e+06
42.0191,7.13687e+06
42.5021,6.53304e+06
42.985,5.87438e+06
43.468,5.25362e+06
43.951,4.73324e+06
44.434,4.36753e+06
44.9169,3.98882e+06
45.3999,3.64613e+06
45.8829,3.55236e+06
46.3659,3.4966e+06
46.8489,3.2241e+06
47.3318,3.05519e+06
47.8148,3.09735e+06
48.2978,3.29396e+06
48.7808,3.63361e+06
49.2637,3.56253e+06
49.7467,3.0214e+06
50.2297,2.36628e+06
50.7127,1.64971e+06
51.1957,1.11026e+06
51.6786,1.01757e+06
52.1616,1.15297e+06
52.6446,1.08295e+06
53.1276,898497
53.6106,792181
54.0935,755000
54.5765,988644
55.0595,1.44905e+06
55.5425,1.76739e+06
56.0254,1.61404e+06
56.5084,1.13192e+06
56.9914,625522
57.4744,402734
57.9574,550856
58.4403,759506
58.9233,683965
59.4063,491865
59.8893,421678
60.3722,540813
60.8552,751662
61.3382,699374
61.8212,552848
62.3042,217449
62.7871,-38652.2
63.2701,19918.7
63.7531,284085
64.2361,746304
64.719,891469
65.202,910529
65.685,806800
66.168,741823
66.651,663801
67.1339,514522
67.6169,563171
68.0999,785474
68.5829,989358
69.0658,1.2032e+06
69.5488,1.31438e+06
70.0318,1.31068e+06
70.5148,1.3922e+06
70.9978,1.33739e+06
71.4807,1.20213e+06
71.9637,871369
72.4467,431991
72.9297,427324
73.4126,331245
73.8956,-39739.4
74.3786,-378418
74.8616,-151384
