PHONON_FREQUENCY,SPECTRALFLUX_AT_POSITION_50
0,0
0.482978,14516.5
0.965956,68486.1
1.44893,125787
1.93191,196935
2.41489,320682
2.89787,515935
3.38085,764698
3.86382,1.02426e+06
4.3468,1.25819e+06
4.82978,1.46505e+06
5.31276,1.69072e+06
5.79574,2.00551e+06
6.27871,2.46697e+06
6.76169,3.11113e+06
7.24467,3.94016e+06
7.72765,4.8841e+06
8.21062,5.80155e+06
8.6936,6.56829e+06
9.17658,7.17442e+06
9.65956,7.70323e+06
10.1425,8.22729e+06
10.6255,8.76509e+06
11.1085,9.33734e+06
11.5915,1.00127e+07
12.0744,1.08359e+07
12.5574,1.17162e+07
13.0404,1.24376e+07
13.5234,1.28388e+07
14.0064,1.29562e+07
14.4893,1.28873e+07
14.9723,1.28307e+07
15.4553,1.29953e+07
15.9383,1.32919e+07
16.4212,1.34048e+07
16.9042,1.34023e+07
17.3872,1.34122e+07
17.8702,1.34573e+07
18.3532,1.3533e+07
18.8361,1.35474e+07
19.3191,1.3504e+07
19.8021,1.37717e+07
20.2851,1.44271e+07
20.7681,1.54385e+07
21.251,1.65832e+07
21.734,1.75128e+07
22.217,1.78738e+07
22.7,1.73284e+07
23.1829,1.60644e+07
23.6659,1.47779e+07
24.1489,1.39626e+07
24.6319,1.37153e+07
25.1149,1.38941e+07
25.5978,1.40764e+07
26.0808,1.41999e+07
26.5638,1.43237e+07
27.0468,1.42542e+07
27.5297,1.40593e+07
28.0127,1.39393e+07
28.4957,1.36469e+07
28.9787,1.31081e+07
29.4617,1.25068e+07
29.9446,1.21195e+07
30.4276,1.18123e+07
30.9106,1.1606e+07
31.3936,1.1502e+07
31.8765,1.1073e+07
32.3595,1.01594e+07
32.8425,9.14023e+06
33.3255,8.226e+06
33.8085,7.6465e+06
34.2914,7.83662e+06
34.7744,8.32883e+06
35.2574,8.75463e+06
35.7404,8.78937e+06
36.2233,8.37467e+06
36.7063,8.45004e+06
37.1893,8.32323e+06
37.6723,7.88623e+06
38.1553,7.67723e+06
38.6382,7.37574e+06
39.1212,7.00974e+06
39.6042,6.7509e+06
40.0872,6.51683e+06
40.5701,6.33648e+06
41.0531,6.31317e+06
41.5361,6.29384e+06
42.0191,6.03321e+06
42.5021,5.55161e+06
42.985,5.06894e+06
43.468,4.56879e+06
43.951,4.058e+06
44.434,3.75456e+06
44.9169,3.73807e+06
45.3999,3.70748e+06
45.8829,3.58045e+06
46.3659,3.49899e+06
46.8489,3.58158e+06
47.3318,3.795e+06
47.8148,3.853e+06
48.2978,3.58686e+06
48.7808,3.18129e+06
49.2637,2.86824e+06
49.7467,2.6321e+06
50.2297,2.52369e+06
50.7127,2.32311e+06
51.1957,1.98354e+06
51.6786,1.67093e+06
52.1616,1.4902e+06
52.6446,1.33826e+06
53.1276,1.34092e+06
53.6106,1.42374e+06
54.0935,1.50572e+06
54.5765,1.52915e+06
55.0595,1.75142e+06
55.5425,1.4606e+06
56.0254,1.195e+06
56.5084,1.00432e+06
56.9914,886563
57.4744,889234
57.9574,1.09365e+06
58.4403,1.15633e+06
58.9233,947501
59.4063,827769
59.8893,605200
60.3722,487755
60.8552,330362
61.3382,184663
61.8212,437171
62.3042,726270
62.7871,765442
63.2701,844663
63.7531,1.01138e+06
64.2361,987598
64.719,975235
65.202,983803
65.685,1.16579e+06
66.168,1.11731e+06
66.651,925025
67.1339,694680
67.6169,409586
68.0999,154030
68.5829,-14077.6
69.0658,70090.6
69.5488,274725
70.0318,378133
70.5148,563820
70.9978,715307
71.4807,939436
71.9637,951762
72.4467,739830
72.9297,722095
73.4126,172270
73.8956,-312264
74.3786,-102887
74.8616,66698.3
75.3446,242233
75.8275,198519
76.3105,9140.98
76.7935,-63123.3
77.2765,-119490
77.7594,-341266
78.2424,-485488
78.7254,-446888
79.2084,-187824
79.6914,176022
80.1743,190096
80.6573,-7735.61
81.1403,-205307
81.6233,-343275
82.1062,-320820
82.5892,-204365
83.0722,178358
83.5552,316040
84.0382,342516
84.5211,533210
85.0041,693483
85.4871,782966
85.9701,760044
86.453,659253
86.936,558696
87.419,490106
87.902,460967
88.385,480253
88.8679,550605
89.3509,627499
89.8339,639070
90.3169,586764
90.7999,516663
91.2828,473837
91.7658,516513
92.2488,659504
92.7318,742077
93.2147,677012
93.6977,515439
94.1807,321350
94.6637,215374
95.1467,280972
95.6296,288184
96.1126,285823
96.5956,247145
97.0786,177227
97.5615,109575
98.0445,74659
98.5275,70720.9
99.0105,61437.6
99.4935,141869
99.9764,306710
100.459,525260
100.942,725568
101.425,746530
101.908,602024
102.391,560587
102.874,459616
103.357,306940
103.84,250714
104.323,73501.5
104.806,-142431
105.289,-174305
105.772,39276.7
106.255,306456
106.738,728014
107.221,649205
107.704,254424
108.187,213929
108.67,284823
109.153,328768
109.636,243778
110.119,146216
110.602,154806
111.085,189088
111.568,209516
112.051,271794
112.534,256234
113.017,153399
113.5,68934.2
113.983,104160
114.466,282486
114.949,481962
115.432,651439
115.915,887905
116.398,989168
116.881,903654
117.364,665348
117.847,408014
118.33,363957
118.813,539100
119.296,735048
119.779,841379
120.262,766234
120.744,659215
121.227,625545
121.71,629179
122.193,553254
122.676,302331
123.159,-66111.1
123.642,-265307
124.125,-193998
124.608,74635.1
125.091,192567
125.574,157150
126.057,116759
126.54,151321
127.023,133700
127.506,23826.4
127.989,171927
128.472,217976
128.955,353767
129.438,542324
129.921,499934
130.404,570563
130.887,323885
131.37,56444
131.853,-54693.7
132.336,-86238.9
132.819,-113186
133.302,-147850
133.785,-156290
134.268,-135972
134.751,-139979
135.234,-170826
135.717,-211842
136.2,-220558
136.683,-157848
137.166,-56875.2
137.649,36985.1
138.132,106773
138.615,140404
139.098,137917
139.581,125135
140.064,120381
140.547,120710
141.03,119841
141.513,114676
141.996,98312.5
142.478,67822.7
142.961,36129.4
143.444,16982.1
143.927,8630.23
144.41,3296.7
