PHONON_FREQUENCY,SPECTRALFLUX_AT_POSITION_87
0,0
0.482978,5834.75
0.965956,28683
1.44893,58036.2
1.93191,97201.2
2.41489,153459
2.89787,235086
3.38085,354672
3.86382,521747
4.3468,729092
4.82978,949297
5.31276,1.17064e+06
5.79574,1.42562e+06
6.27871,1.76866e+06
6.76169,2.24654e+06
7.24467,2.87796e+06
7.72765,3.6235e+06
8.21062,4.37813e+06
8.6936,5.03052e+06
9.17658,5.54426e+06
9.65956,5.96491e+06
10.1425,6.35173e+06
10.6255,6.72766e+06
11.1085,7.10682e+06
11.5915,7.54074e+06
12.0744,8.08354e+06
12.5574,8.70627e+06
13.0404,9.28768e+06
13.5234,9.68745e+06
14.0064,9.89983e+06
14.4893,1.01036e+07
14.9723,1.04287e+07
15.4553,1.0829e+07
15.9383,1.12351e+07
16.4212,1.15459e+07
16.9042,1.17532e+07
17.3872,1.18798e+07
17.8702,1.19636e+07
18.3532,1.20157e+07
18.8361,1.21568e+07
19.3191,1.26545e+07
19.8021,1.33906e+07
20.2851,1.43082e+07
20.7681,1.53271e+07
21.251,1.59056e+07
21.734,1.59364e+07
22.217,1.5746e+07
22.7,1.54467e+07
23.1829,1.52538e+07
23.6659,1.50746e+07
24.1489,1.47525e+07
24.6319,1.45404e+07
25.1149,1.44232e+07
25.5978,1.41736e+07
26.0808,1.39488e+07
26.5638,1.37203e+07
27.0468,1.33759e+07
27.5297,1.33217e+07
28.0127,1.33411e+07
28.4957,1.3443e+07
28.9787,1.32336e+07
29.4617,1.29943e+07
29.9446,1.27366e+07
30.4276,1.26694e+07
30.9106,1.24908e+07
31.3936,1.22114e+07
31.8765,1.1829e+07
32.3595,1.12915e+07
32.8425,1.07464e+07
33.3255,1.00652e+07
33.8085,9.27089e+06
34.2914,8.52778e+06
34.7744,8.32033e+06
35.2574,8.34953e+06
35.7404,8.67984e+06
36.2233,9.1981e+06
36.7063,9.34832e+06
37.1893,9.34767e+06
37.6723,9.27723e+06
38.1553,8.96536e+06
38.6382,8.54843e+06
39.1212,8.28222e+06
39.6042,8.32586e+06
40.0872,8.61778e+06
40.5701,8.8822e+06
41.0531,8.75275e+06
41.5361,8.30236e+06
42.0191,7.8536e+06
42.5021,7.36073e+06
42.985,6.71113e+06
43.468,6.04126e+06
43.951,5.53076e+06
44.434,5.32463e+06
44.9169,5.34581e+06
45.3999,5.1097e+06
45.8829,4.4715e+06
46.3659,3.74717e+06
46.8489,3.18259e+06
47.3318,2.85942e+06
47.8148,2.91164e+06
48.2978,3.22616e+06
48.7808,3.70509e+06
49.2637,3.81069e+06
49.7467,3.45995e+06
50.2297,3.21366e+06
50.7127,3.0186e+06
51.1957,2.64856e+06
51.6786,2.20625e+06
52.1616,1.90357e+06
52.6446,1.65916e+06
53.1276,1.51045e+06
53.6106,1.39659e+06
54.0935,1.34612e+06
54.5765,1.70421e+06
