PHONON_FREQUENCY,SPECTRALFLUX_AT_POSITION_86
0,0
0.482978,6419.52
0.965956,31555.9
1.44893,63532.9
1.93191,105048
2.41489,162851
2.89787,244542
3.38085,362920
3.86382,529318
4.3468,737900
4.82978,959713
5.31276,1.18308e+06
5.79574,1.44553e+06
6.27871,1.80447e+06
6.76169,2.30184e+06
7.24467,2.94893e+06
7.72765,3.70348e+06
8.21062,4.46058e+06
8.6936,5.10967e+06
9.17658,5.61958e+06
9.65956,6.04471e+06
10.1425,6.44823e+06
10.6255,6.84725e+06
11.1085,7.24549e+06
11.5915,7.68648e+06
12.0744,8.22181e+06
12.5574,8.82711e+06
13.0404,9.38911e+06
13.5234,9.80117e+06
14.0064,1.00748e+07
14.4893,1.03298e+07
14.9723,1.06648e+07
15.4553,1.10604e+07
15.9383,1.15047e+07
16.4212,1.17963e+07
16.9042,1.18949e+07
17.3872,1.19368e+07
17.8702,1.20042e+07
18.3532,1.21151e+07
18.8361,1.23816e+07
19.3191,1.29769e+07
19.8021,1.37195e+07
20.2851,1.45632e+07
20.7681,1.54336e+07
21.251,1.58752e+07
21.734,1.59297e+07
22.217,1.59373e+07
22.7,1.57968e+07
23.1829,1.55819e+07
23.6659,1.51635e+07
24.1489,1.47696e+07
24.6319,1.43647e+07
25.1149,1.40067e+07
25.5978,1.39398e+07
26.0808,1.40019e+07
26.5638,1.38467e+07
27.0468,1.35283e+07
27.5297,1.34357e+07
28.0127,1.3508e+07
28.4957,1.32192e+07
28.9787,1.26839e+07
29.4617,1.22632e+07
29.9446,1.22259e+07
30.4276,1.24389e+07
30.9106,1.24504e+07
31.3936,1.22442e+07
31.8765,1.19233e+07
32.3595,1.14457e+07
32.8425,1.08285e+07
33.3255,9.91558e+06
33.8085,9.28733e+06
34.2914,8.87194e+06
34.7744,8.69877e+06
35.2574,8.98866e+06
35.7404,9.31284e+06
36.2233,9.38453e+06
36.7063,9.41624e+06
37.1893,9.55925e+06
37.6723,9.37099e+06
38.1553,8.95839e+06
38.6382,8.57874e+06
39.1212,8.39622e+06
39.6042,8.45852e+06
40.0872,8.53735e+06
40.5701,8.62259e+06
41.0531,8.60507e+06
41.5361,8.29677e+06
42.0191,7.72496e+06
42.5021,6.95386e+06
42.985,6.27856e+06
43.468,5.78246e+06
43.951,5.41809e+06
44.434,5.35041e+06
44.9169,5.32762e+06
45.3999,5.13448e+06
45.8829,4.78404e+06
46.3659,4.22767e+06
46.8489,3.54064e+06
47.3318,3.12496e+06
47.8148,3.07117e+06
48.2978,3.11475e+06
48.7808,3.20862e+06
49.2637,3.32996e+06
49.7467,3.03785e+06
50.2297,2.76392e+06
50.7127,2.62691e+06
51.1957,2.37101e+06
51.6786,2.06977e+06
52.1616,1.69726e+06
52.6446,1.42648e+06
53.1276,1.33379e+06
53.6106,1.39114e+06
54.0935,1.54627e+06
54.5765,1.52716e+06
55.0595,1.65122e+06
55.5425,1.80945e+06
56.0254,1.5436e+06
56.5084,1.1742e+06
56.9914,1.01009e+06
57.4744,993583
57.9574,795343
58.4403,453547
58.9233,87084.6
59.4063,342702
59.8893,742331
60.3722,454954
60.8552,76595.2
61.3382,130666
61.8212,463325
62.3042,887153
62.7871,1.06431e+06
63.2701,1.09582e+06
63.7531,1.13239e+06
64.2361,1.09585e+06
64.719,869394
65.202,587714
65.685,311319
66.168,1396.12
66.651,-228813
67.1339,-110092
67.6169,168102
68.0999,262690
68.5829,261121
69.0658,359609
69.5488,511715
70.0318,530230
70.5148,395657
70.9978,308183
71.4807,411021
71.9637,630957
72.4467,650952
72.9297,311030
73.4126,483170
73.8956,761908
74.3786,451776
74.8616,-16256.1
75.3446,-123026
75.8275,8971.63
76.3105,191673
76.7935,302575
77.2765,231299
77.7594,382871
78.2424,530398
78.7254,551304
79.2084,484028
79.6914,512211
80.1743,722675
80.6573,526738
81.1403,252947
81.6233,-35988
82.1062,-132115
82.5892,-14226.4
83.0722,-32921.3
83.5552,-46980.8
84.0382,76501.8
84.5211,241856
85.0041,263993
85.4871,226587
85.9701,244600
86.453,272794
86.936,271583
87.419,322862
87.902,450334
88.385,609001
88.8679,754995
89.3509,886357
89.8339,1.01824e+06
90.3169,1.10231e+06
90.7999,1.0864e+06
91.2828,1.00167e+06
91.7658,893416
92.2488,781523
92.7318,678221
93.2147,563784
93.6977,593342
