PHONON_FREQUENCY,SPECTRALFLUX_AT_POSITION_71
0,0
0.482978,8167.74
0.965956,40107.4
1.44893,82000.2
1.93191,145914
2.41489,254115
2.89787,415210
3.38085,619536
3.86382,845192
4.3468,1.06867e+06
4.82978,1.27854e+06
5.31276,1.4982e+06
5.79574,1.7875e+06
6.27871,2.20712e+06
6.76169,2.79248e+06
7.24467,3.54565e+06
7.72765,4.41048e+06
8.21062,5.26277e+06
8.6936,5.9806e+06
9.17658,6.54404e+06
9.65956,7.03038e+06
10.1425,7.51312e+06
10.6255,8.00677e+06
11.1085,8.51951e+06
11.5915,9.10956e+06
12.0744,9.81886e+06
12.5574,1.05629e+07
13.0404,1.11718e+07
13.5234,1.15523e+07
14.0064,1.17346e+07
14.4893,1.1859e+07
14.9723,1.21996e+07
15.4553,1.27136e+07
15.9383,1.31259e+07
16.4212,1.32919e+07
16.9042,1.322e+07
17.3872,1.31396e+07
17.8702,1.31698e+07
18.3532,1.32452e+07
18.8361,1.32766e+07
19.3191,1.33466e+07
19.8021,1.36206e+07
20.2851,1.42918e+07
20.7681,1.53953e+07
21.251,1.64394e+07
21.734,1.71156e+07
22.217,1.73075e+07
22.7,1.69362e+07
23.1829,1.60551e+07
23.6659,1.49548e+07
24.1489,1.42061e+07
24.6319,1.38921e+07
25.1149,1.3872e+07
25.5978,1.42181e+07
26.0808,1.46853e+07
26.5638,1.49902e+07
27.0468,1.48996e+07
27.5297,1.43321e+07
28.0127,1.35427e+07
28.4957,1.27768e+07
28.9787,1.22916e+07
29.4617,1.18573e+07
29.9446,1.15881e+07
30.4276,1.15518e+07
30.9106,1.16284e+07
31.3936,1.16166e+07
31.8765,1.13861e+07
32.3595,1.09979e+07
32.8425,1.04999e+07
33.3255,9.87271e+06
33.8085,9.46276e+06
34.2914,8.92764e+06
34.7744,8.839e+06
35.2574,8.99387e+06
35.7404,9.03501e+06
36.2233,9.19472e+06
36.7063,9.27523e+06
37.1893,9.26018e+06
37.6723,9.20813e+06
38.1553,8.96984e+06
38.6382,8.60301e+06
39.1212,8.13701e+06
39.6042,7.66626e+06
40.0872,7.4175e+06
40.5701,7.25814e+06
41.0531,6.9609e+06
41.5361,6.60235e+06
42.0191,6.18917e+06
42.5021,5.64451e+06
42.985,5.08696e+06
43.468,4.54995e+06
43.951,4.10541e+06
44.434,3.98447e+06
44.9169,4.08848e+06
45.3999,4.10041e+06
45.8829,3.84864e+06
46.3659,3.36628e+06
46.8489,3.00728e+06
47.3318,2.89157e+06
47.8148,2.96647e+06
48.2978,2.89755e+06
48.7808,2.67058e+06
49.2637,2.59973e+06
49.7467,2.53906e+06
50.2297,2.60094e+06
50.7127,2.43721e+06
51.1957,2.10477e+06
51.6786,1.75002e+06
52.1616,1.40081e+06
52.6446,1.2186e+06
53.1276,1.14918e+06
53.6106,1.21231e+06
54.0935,1.59513e+06
54.5765,1.91163e+06
55.0595,2.08578e+06
55.5425,2.10546e+06
56.0254,2.23626e+06
56.5084,2.06124e+06
56.9914,1.62542e+06
57.4744,1.32873e+06
57.9574,1.18479e+06
58.4403,864541
58.9233,482061
59.4063,400315
59.8893,405217
60.3722,435184
60.8552,384841
61.3382,311321
61.8212,268568
62.3042,344785
62.7871,552035
63.2701,1.00475e+06
63.7531,1.54669e+06
64.2361,1.77412e+06
64.719,1.67231e+06
65.202,1.38128e+06
65.685,1.21483e+06
66.168,1.11547e+06
66.651,933664
67.1339,679881
67.6169,399090
68.0999,215455
68.5829,216044
69.0658,225472
69.5488,194840
70.0318,118710
70.5148,60576.8
70.9978,106703
71.4807,113019
71.9637,-147460
72.4467,121182
72.9297,232887
73.4126,-29059.9
73.8956,-80510.2
74.3786,57599.9
74.8616,156812
75.3446,90794.8
75.8275,158559
76.3105,295479
76.7935,298357
77.2765,426932
77.7594,483608
78.2424,474767
78.7254,510046
79.2084,572506
79.6914,498074
80.1743,362430
80.6573,315223
81.1403,311217
81.6233,166099
82.1062,23190.6
82.5892,-55295.9
83.0722,-387809
83.5552,-427309
84.0382,25121.1
84.5211,313681
85.0041,335912
85.4871,212635
85.9701,118915
86.453,43616.4
86.936,-48749.2
87.419,-102157
87.902,-78722.6
88.385,59175.8
88.8679,269187
89.3509,448889
89.8339,588411
90.3169,648211
90.7999,592937
91.2828,483877
91.7658,477802
92.2488,565603
92.7318,574268
93.2147,419316
93.6977,150319
94.1807,100299
94.6637,402023
95.1467,541231
95.6296,727301
96.1126,944044
96.5956,1.05937e+06
97.0786,1.01559e+06
97.5615,845851
98.0445,641547
98.5275,477637
99.0105,361167
99.4935,345495
99.9764,343904
100.459,364420
100.942,395924
101.425,350138
101.908,168799
102.391,-95948.2
102.874,-191238
103.357,-123146
103.84,-15870.7
104.323,76554.5
104.806,174778
105.289,206994
105.772,54159.6
106.255,16659.1
106.738,-16990.4
107.221,205156
107.704,133575
108.187,-123968
108.67,-315031
109.153,106335
109.636,246870
110.119,351196
110.602,499631
111.085,358875
111.568,172999
112.051,111737
112.534,42498.6
113.017,22311.3
113.5,35775.5
113.983,-17426.5
114.466,79625.7
114.949,377429
115.432,690511
115.915,780146
116.398,787862
116.881,809935
117.364,818281
117.847,799911
118.33,789462
118.813,774394
119.296,787387
119.779,869268
120.262,742871
120.744,672296
121.227,705648
121.71,750561
122.193,734633
122.676,625835
123.159,650441
123.642,808617
124.125,846316
124.608,741281
125.091,450006
125.574,189369
126.057,90110.6
126.54,97359.9
127.023,70420.1
127.506,-5491.43
127.989,-35478.5
128.472,-27176.7
128.955,27927.9
129.438,-2738.73
129.921,5703.78
130.404,64960.3
130.887,69149.9
131.37,66930.4
131.853,58548.8
132.336,9831.33
132.819,-20813.3
133.302,8765
133.785,40185.5
134.268,23708.9
134.751,-6288.14
135.234,-31064.4
