PHONON_FREQUENCY,SPECTRALFLUX_AT_POSITION_9
0,0
0.482978,24309.6
0.965956,111348
1.44893,185811
1.93191,248569
2.41489,358915
2.89787,552664
3.38085,810645
3.86382,1.08047e+06
4.3468,1.31898e+06
4.82978,1.51806e+06
5.31276,1.71386e+06
5.79574,1.97084e+06
6.27871,2.35068e+06
6.76169,2.895e+06
7.24467,3.60421e+06
7.72765,4.41485e+06
8.21062,5.21436e+06
8.6936,5.91222e+06
9.17658,6.51109e+06
9.65956,7.08066e+06
10.1425,7.66006e+06
10.6255,8.22052e+06
11.1085,8.74446e+06
11.5915,9.29934e+06
12.0744,9.94695e+06
12.5574,1.06096e+07
13.0404,1.11414e+07
13.5234,1.14156e+07
14.0064,1.13765e+07
14.4893,1.12182e+07
14.9723,1.12166e+07
15.4553,1.15096e+07
15.9383,1.20561e+07
16.4212,1.25532e+07
16.9042,1.28976e+07
17.3872,1.30328e+07
17.8702,1.3018e+07
18.3532,1.29152e+07
18.8361,1.28911e+07
19.3191,1.31447e+07
19.8021,1.35292e+07
20.2851,1.40682e+07
20.7681,1.47655e+07
21.251,1.53205e+07
21.734,1.56193e+07
22.217,1.57978e+07
22.7,1.56416e+07
23.1829,1.50815e+07
23.6659,1.44524e+07
24.1489,1.39527e+07
24.6319,1.37899e+07
25.1149,1.38922e+07
25.5978,1.39697e+07
26.0808,1.41656e+07
26.5638,1.41863e+07
27.0468,1.39624e+07
27.5297,1.36764e+07
28.0127,1.31348e+07
28.4957,1.24949e+07
28.9787,1.23145e+07
29.4617,1.2182e+07
29.9446,1.1813e+07
30.4276,1.15234e+07
30.9106,1.15114e+07
31.3936,1.15342e+07
31.8765,1.13329e+07
32.3595,1.0952e+07
32.8425,1.02797e+07
33.3255,9.33421e+06
33.8085,8.59669e+06
34.2914,8.16772e+06
34.7744,8.22404e+06
35.2574,8.30722e+06
35.7404,8.29086e+06
36.2233,8.39282e+06
36.7063,8.58142e+06
37.1893,8.36364e+06
37.6723,8.12736e+06
38.1553,8.03611e+06
38.6382,7.89174e+06
39.1212,7.66119e+06
39.6042,7.47436e+06
40.0872,7.31946e+06
40.5701,7.17597e+06
41.0531,7.06821e+06
41.5361,6.97401e+06
42.0191,6.7801e+06
42.5021,6.2794e+06
42.985,5.58531e+06
43.468,4.91141e+06
43.951,4.43147e+06
44.434,4.321e+06
44.9169,4.3697e+06
45.3999,4.21895e+06
45.8829,4.01187e+06
46.3659,3.82516e+06
46.8489,3.71636e+06
47.3318,3.74257e+06
47.8148,3.76013e+06
48.2978,3.65058e+06
48.7808,3.61939e+06
49.2637,3.41272e+06
49.7467,3.12005e+06
50.2297,2.76059e+06
50.7127,2.26904e+06
51.1957,1.92611e+06
51.6786,1.70981e+06
52.1616,1.64436e+06
52.6446,1.59817e+06
53.1276,1.39762e+06
53.6106,1.18768e+06
54.0935,1.26344e+06
54.5765,1.69525e+06
55.0595,1.63209e+06
55.5425,1.647e+06
56.0254,1.53791e+06
56.5084,1.26695e+06
56.9914,1.10421e+06
57.4744,1.04307e+06
57.9574,865825
58.4403,749219
58.9233,674643
59.4063,1.06113e+06
59.8893,1.30742e+06
60.3722,1.13231e+06
60.8552,1.0387e+06
61.3382,1.2161e+06
61.8212,1.14889e+06
62.3042,1.16163e+06
62.7871,1.33349e+06
63.2701,1.71019e+06
63.7531,1.70934e+06
64.2361,1.3068e+06
64.719,1.02476e+06
65.202,930984
65.685,851393
66.168,705926
66.651,587204
67.1339,654680
67.6169,880643
68.0999,1.04174e+06
68.5829,1.05573e+06
69.0658,1.07848e+06
69.5488,1.13269e+06
70.0318,1.11539e+06
70.5148,1.00517e+06
70.9978,825741
71.4807,644810
71.9637,182629
72.4467,4512.28
72.9297,59101
73.4126,-7904.77
73.8956,286080
74.3786,521066
74.8616,368545
75.3446,76581.1
75.8275,7580.58
76.3105,113296
76.7935,280484
77.2765,48477.4
77.7594,-227045
78.2424,-347815
78.7254,-376799
79.2084,-242038
79.6914,14700.5
80.1743,49971.6
80.6573,26232.2
81.1403,90885.7
81.6233,210004
82.1062,445171
82.5892,658190
83.0722,510103
83.5552,189228
84.0382,100893
84.5211,160015
85.0041,427323
85.4871,655287
85.9701,654057
86.453,501197
86.936,335871
87.419,253987
87.902,285862
88.385,409043
88.8679,576952
89.3509,721335
89.8339,772751
90.3169,712772
90.7999,606715
91.2828,566304
91.7658,651828
92.2488,766974
92.7318,753302
93.2147,558600
93.6977,339632
94.1807,282988
94.6637,290993
95.1467,610494
95.6296,889527
96.1126,1.09346e+06
96.5956,1.17047e+06
97.0786,1.06447e+06
97.5615,813889
98.0445,525541
98.5275,300710
99.0105,180980
99.4935,149791
99.9764,181508
100.459,219687
100.942,304089
101.425,383768
101.908,306630
102.391,130414
102.874,88412.1
103.357,90765
103.84,80501.9
104.323,38949.9
104.806,79884
105.289,87045.4
105.772,115762
106.255,66072.8
106.738,-70914.7
107.221,-251475
107.704,-196268
108.187,230138
108.67,548915
109.153,334648
109.636,238747
110.119,394784
110.602,548904
111.085,437563
111.568,420847
112.051,388553
112.534,225215
113.017,25090.4
113.5,-86276.4
113.983,-102422
114.466,-69784.5
114.949,61215.2
115.432,316981
115.915,494645
116.398,553917
116.881,697307
117.364,784873
117.847,865781
118.33,837522
118.813,590268
119.296,239459
119.779,140757
120.262,212443
120.744,412387
121.227,702303
121.71,917663
122.193,962841
122.676,907648
123.159,803816
123.642,854919
124.125,913067
124.608,813950
125.091,447111
125.574,144538
126.057,157130
126.54,240030
127.023,274932
127.506,345157
127.989,622838
128.472,860983
128.955,742917
129.438,547519
129.921,492673
130.404,467049
130.887,588144
131.37,371760
131.853,156429
132.336,103210
132.819,65607.5
133.302,15652.3
133.785,17983.9
134.268,85182.2
134.751,180398
135.234,249755
135.717,268067
136.2,247911
136.683,196745
137.166,125990
137.649,68886.5
138.132,52169.7
138.615,51774
139.098,28474.8
139.581,-20704.8
140.064,-78742.5
140.547,-124058
141.03,-141366
141.513,-135752
141.996,-126388
142.478,-123694
142.961,-120275
143.444,-105491
143.927,-76197.2
144.41,-41013.3
