PHONON_FREQUENCY,SPECTRALFLUX_AT_POSITION_95
0,0
0.482978,2333.74
0.965956,11724.9
1.44893,26143.2
1.93191,49218.6
2.41489,81287.5
2.89787,123929
3.38085,191883
3.86382,308136
4.3468,480658
4.82978,688648
5.31276,914160
5.79574,1.1718e+06
6.27871,1.48752e+06
6.76169,1.88293e+06
7.24467,2.3836e+06
7.72765,2.9865e+06
8.21062,3.61659e+06
8.6936,4.1643e+06
9.17658,4.57345e+06
9.65956,4.86847e+06
10.1425,5.1098e+06
10.6255,5.3516e+06
11.1085,5.63529e+06
11.5915,6.00312e+06
12.0744,6.4841e+06
12.5574,7.03711e+06
13.0404,7.56444e+06
13.5234,7.97358e+06
14.0064,8.22432e+06
14.4893,8.40354e+06
14.9723,8.59069e+06
15.4553,8.86254e+06
15.9383,9.16502e+06
16.4212,9.37969e+06
16.9042,9.3431e+06
17.3872,9.18342e+06
17.8702,9.13488e+06
18.3532,9.34756e+06
18.8361,9.93077e+06
19.3191,1.08331e+07
19.8021,1.17413e+07
20.2851,1.25755e+07
20.7681,1.32793e+07
21.251,1.37371e+07
21.734,1.38518e+07
22.217,1.3798e+07
22.7,1.36984e+07
23.1829,1.36733e+07
23.6659,1.36915e+07
24.1489,1.38269e+07
24.6319,1.41345e+07
25.1149,1.44446e+07
25.5978,1.47471e+07
26.0808,1.45421e+07
26.5638,1.42465e+07
27.0468,1.40536e+07
27.5297,1.40806e+07
28.0127,1.43312e+07
28.4957,1.44736e+07
28.9787,1.41635e+07
29.4617,1.34662e+07
29.9446,1.31481e+07
30.4276,1.31175e+07
30.9106,1.29092e+07
31.3936,1.24776e+07
31.8765,1.19525e+07
32.3595,1.15501e+07
32.8425,1.11186e+07
33.3255,1.02513e+07
33.8085,9.30926e+06
34.2914,8.68543e+06
34.7744,8.44086e+06
35.2574,8.61288e+06
35.7404,9.12058e+06
36.2233,9.57305e+06
36.7063,9.78482e+06
37.1893,9.85823e+06
37.6723,9.78221e+06
38.1553,9.44296e+06
38.6382,9.01314e+06
39.1212,8.64393e+06
39.6042,8.61609e+06
40.0872,8.87325e+06
40.5701,9.13467e+06
41.0531,9.23941e+06
41.5361,9.16314e+06
42.0191,8.84446e+06
42.5021,8.25208e+06
42.985,7.56246e+06
43.468,7.00423e+06
43.951,6.48326e+06
44.434,5.92816e+06
44.9169,5.53607e+06
45.3999,5.39477e+06
45.8829,5.2804e+06
46.3659,5.15498e+06
46.8489,5.17564e+06
47.3318,5.34327e+06
47.8148,5.49254e+06
48.2978,5.5663e+06
48.7808,5.45525e+06
49.2637,5.25188e+06
49.7467,4.68052e+06
50.2297,3.92635e+06
50.7127,3.31081e+06
51.1957,2.99402e+06
51.6786,2.73791e+06
52.1616,2.49903e+06
52.6446,2.29169e+06
53.1276,2.27124e+06
53.6106,2.39479e+06
54.0935,2.76182e+06
54.5765,2.73781e+06
55.0595,2.17798e+06
55.5425,1.70486e+06
56.0254,1.45249e+06
56.5084,1.45251e+06
56.9914,1.81633e+06
57.4744,2.16622e+06
57.9574,2.33417e+06
58.4403,2.35487e+06
58.9233,1.93729e+06
59.4063,1.52802e+06
59.8893,1.07445e+06
60.3722,1.01206e+06
60.8552,1.55537e+06
61.3382,1.61946e+06
61.8212,1.2936e+06
62.3042,1.02284e+06
62.7871,1.09067e+06
63.2701,1.38568e+06
63.7531,1.67253e+06
64.2361,1.75346e+06
64.719,1.72933e+06
65.202,1.49567e+06
65.685,1.08251e+06
66.168,809174
66.651,773106
67.1339,832070
67.6169,778929
68.0999,596274
68.5829,437732
69.0658,327726
69.5488,297706
70.0318,462276
70.5148,710764
70.9978,674787
71.4807,670459
71.9637,974318
72.4467,1.0453e+06
72.9297,390043
73.4126,201594
73.8956,284224
74.3786,361912
74.8616,273456
75.3446,268210
75.8275,180980
76.3105,24997.4
76.7935,17208.2
77.2765,88113.9
77.7594,231318
78.2424,404646
78.7254,475429
79.2084,525340
79.6914,677300
80.1743,834016
80.6573,704612
81.1403,790741
81.6233,801655
82.1062,743184
82.5892,573720
83.0722,298144
83.5552,113957
84.0382,213026
84.5211,481983
85.0041,697440
85.4871,760187
85.9701,677208
86.453,515202
86.936,386277
87.419,348818
87.902,409680
88.385,522466
88.8679,631661
89.3509,700252
89.8339,690122
90.3169,616309
90.7999,532525
91.2828,506194
91.7658,585249
92.2488,743863
92.7318,840315
93.2147,688191
93.6977,378293
94.1807,250427
94.6637,273697
95.1467,478423
95.6296,619964
96.1126,736922
96.5956,806833
97.0786,789583
97.5615,712821
98.0445,653919
98.5275,662733
99.0105,699696
99.4935,644288
99.9764,549369
100.459,468558
100.942,375855
101.425,248382
101.908,74459.7
102.391,-58220.5
102.874,4659.24
103.357,130888
103.84,208312
104.323,265329
104.806,188426
105.289,70111.9
105.772,-31343.8
106.255,-2678.22
106.738,205649
107.221,389944
107.704,560388
108.187,751827
108.67,550203
109.153,143592
109.636,-188499
110.119,-345472
110.602,-193828
111.085,-46684.3
111.568,11481.9
112.051,128485
112.534,130497
113.017,96270.6
113.5,164692
113.983,355744
114.466,586573
114.949,813722
115.432,1.05029e+06
115.915,986189
116.398,720317
116.881,577235
117.364,760505
117.847,928998
118.33,917355
118.813,757264
119.296,486048
119.779,387862
120.262,482349
120.744,512184
121.227,658420
121.71,891690
122.193,981304
122.676,897400
123.159,709123
123.642,648639
124.125,771419
124.608,980567
125.091,1.0879e+06
125.574,1.00495e+06
126.057,717005
126.54,493310
127.023,397055
127.506,443753
127.989,519525
128.472,595249
128.955,508344
129.438,205407
129.921,8117.78
130.404,143931
130.887,254958
131.37,189703
131.853,10181.1
132.336,-165751
132.819,-231489
133.302,-175359
133.785,-30557.6
134.268,89652
134.751,142445
135.234,172789
135.717,182650
136.2,137234
136.683,61437.4
137.166,-21271.1
137.649,-85461.9
138.132,-93331.8
138.615,-44054.2
139.098,31710.1
139.581,97682
140.064,131259
140.547,127586
141.03,93012.7
141.513,41459.6
141.996,-11385.6
142.478,-51053.7
142.961,-62513.1
143.444,-44301.7
143.927,-15147.2
144.41,4901.97
