PHONON_FREQUENCY,SPECTRALFLUX_AT_POSITION_25
0,0
0.482978,22026.1
0.965956,102179
1.44893,177470
1.93191,253587
2.41489,385238
2.89787,602880
3.38085,881560
3.86382,1.15681e+06
4.3468,1.37915e+06
4.82978,1.56188e+06
5.31276,1.76801e+06
5.79574,2.06202e+06
6.27871,2.4882e+06
6.76169,3.08032e+06
7.24467,3.85179e+06
7.72765,4.75226e+06
8.21062,5.65871e+06
8.6936,6.4533e+06
9.17658,7.11719e+06
9.65956,7.71839e+06
10.1425,8.314e+06
10.6255,8.9036e+06
11.1085,9.49041e+06
11.5915,1.01472e+07
12.0744,1.09343e+07
12.5574,1.17454e+07
13.0404,1.23718e+07
13.5234,1.2724e+07
14.0064,1.28693e+07
14.4893,1.29352e+07
14.9723,1.30562e+07
15.4553,1.32965e+07
15.9383,1.34461e+07
16.4212,1.3475e+07
16.9042,1.33666e+07
17.3872,1.3223e+07
17.8702,1.32321e+07
18.3532,1.33848e+07
18.8361,1.35643e+07
19.3191,1.37283e+07
19.8021,1.37716e+07
20.2851,1.39787e+07
20.7681,1.46764e+07
21.251,1.54581e+07
21.734,1.59442e+07
22.217,1.60143e+07
22.7,1.58367e+07
23.1829,1.53577e+07
23.6659,1.49006e+07
24.1489,1.46247e+07
24.6319,1.47022e+07
25.1149,1.5016e+07
25.5978,1.49579e+07
26.0808,1.46969e+07
26.5638,1.43717e+07
27.0468,1.40878e+07
27.5297,1.37616e+07
28.0127,1.33226e+07
28.4957,1.3157e+07
28.9787,1.30419e+07
29.4617,1.27381e+07
29.9446,1.22129e+07
30.4276,1.1861e+07
30.9106,1.15754e+07
31.3936,1.12367e+07
31.8765,1.06777e+07
32.3595,9.88275e+06
32.8425,9.01798e+06
33.3255,8.14477e+06
33.8085,7.50277e+06
34.2914,7.3918e+06
34.7744,7.98859e+06
35.2574,8.5529e+06
35.7404,8.62883e+06
36.2233,8.37662e+06
36.7063,8.42495e+06
37.1893,8.50037e+06
37.6723,8.3214e+06
38.1553,8.00648e+06
38.6382,7.61223e+06
39.1212,7.12064e+06
39.6042,6.78501e+06
40.0872,6.86618e+06
40.5701,7.06318e+06
41.0531,7.04588e+06
41.5361,6.78474e+06
42.0191,6.2944e+06
42.5021,5.68401e+06
42.985,5.1638e+06
43.468,4.74479e+06
43.951,4.36114e+06
44.434,4.14472e+06
44.9169,3.98771e+06
45.3999,3.86679e+06
45.8829,3.75674e+06
46.3659,3.63531e+06
46.8489,3.54843e+06
47.3318,3.61862e+06
47.8148,3.76249e+06
48.2978,3.85034e+06
48.7808,3.66587e+06
49.2637,3.32083e+06
49.7467,2.8999e+06
50.2297,2.68906e+06
50.7127,2.4935e+06
51.1957,2.03982e+06
51.6786,1.62251e+06
52.1616,1.42925e+06
52.6446,1.46062e+06
53.1276,1.49641e+06
53.6106,1.38608e+06
54.0935,1.21451e+06
54.5765,1.18018e+06
55.0595,1.19573e+06
55.5425,1.31148e+06
56.0254,1.56407e+06
56.5084,1.66648e+06
56.9914,1.6875e+06
57.4744,1.52416e+06
57.9574,1.19454e+06
58.4403,1.07598e+06
58.9233,1.10256e+06
59.4063,1.04945e+06
59.8893,1.00813e+06
60.3722,1.05759e+06
60.8552,969204
61.3382,809394
61.8212,514567
62.3042,455091
62.7871,553960
63.2701,660367
63.7531,800532
64.2361,1.2117e+06
64.719,1.48461e+06
65.202,1.23355e+06
65.685,865600
66.168,744225
66.651,676363
67.1339,641695
67.6169,614276
68.0999,680875
68.5829,843770
69.0658,921399
69.5488,822799
70.0318,526307
70.5148,436962
70.9978,387484
71.4807,283815
71.9637,317705
72.4467,384979
72.9297,164086
73.4126,21589.5
73.8956,-155982
74.3786,-261429
74.8616,-204834
75.3446,-179237
75.8275,-154239
76.3105,-21143
76.7935,69798.2
77.2765,-162387
77.7594,-193996
78.2424,16636.1
78.7254,224908
79.2084,326612
79.6914,349359
80.1743,385482
80.6573,284086
81.1403,223864
81.6233,84450.7
82.1062,49430.6
82.5892,59351.2
83.0722,260064
83.5552,358690
84.0382,112202
84.5211,-303989
85.0041,-466863
85.4871,-339698
85.9701,-148632
86.453,16532.1
86.936,138774
87.419,261511
87.902,369595
88.385,368062
88.8679,242128
89.3509,114549
89.8339,139366
90.3169,346939
90.7999,603838
91.2828,790233
91.7658,845290
92.2488,802137
92.7318,730633
93.2147,564814
93.6977,364959
94.1807,216393
94.6637,74758.7
95.1467,240584
95.6296,347101
96.1126,430085
96.5956,478753
97.0786,471732
97.5615,424686
98.0445,379583
98.5275,364080
99.0105,354850
99.4935,310050
99.9764,272175
100.459,237466
100.942,181860
101.425,103041
101.908,16354.2
102.391,-27803
102.874,9011.6
103.357,-28379.7
103.84,-147197
104.323,-169527
104.806,-34122
105.289,85719.2
105.772,155318
106.255,235854
106.738,264216
107.221,112486
107.704,278775
108.187,418353
108.67,364119
109.153,190590
109.636,10008.6
110.119,-168173
110.602,-190456
111.085,-210655
111.568,-275142
112.051,-175667
112.534,67182.9
113.017,228340
113.5,153788
113.983,-4741.3
114.466,-61305.6
114.949,48739.3
115.432,309619
115.915,610035
116.398,909862
116.881,1.28984e+06
117.364,1.36287e+06
117.847,1.18468e+06
118.33,957736
118.813,691443
