PHONON_FREQUENCY,SPECTRALFLUX_AT_POSITION_28
0,0
0.482978,23187.7
0.965956,107578
1.44893,186057
1.93191,260836
2.41489,383956
2.89787,586033
3.38085,848037
3.86382,1.11625e+06
4.3468,1.34727e+06
4.82978,1.54637e+06
5.31276,1.76694e+06
5.79574,2.0742e+06
6.27871,2.51876e+06
6.76169,3.13993e+06
7.24467,3.94823e+06
7.72765,4.88276e+06
8.21062,5.81283e+06
8.6936,6.61988e+06
9.17658,7.28588e+06
9.65956,7.87484e+06
10.1425,8.44151e+06
10.6255,8.99484e+06
11.1085,9.54798e+06
11.5915,1.01717e+07
12.0744,1.09284e+07
12.5574,1.17362e+07
13.0404,1.24201e+07
13.5234,1.28668e+07
14.0064,1.30897e+07
14.4893,1.31646e+07
14.9723,1.32406e+07
15.4553,1.34403e+07
15.9383,1.36177e+07
16.4212,1.35277e+07
16.9042,1.33171e+07
17.3872,1.31365e+07
17.8702,1.31392e+07
18.3532,1.33723e+07
18.8361,1.37281e+07
19.3191,1.40607e+07
19.8021,1.42589e+07
20.2851,1.44478e+07
20.7681,1.48413e+07
21.251,1.54595e+07
21.734,1.62161e+07
22.217,1.64364e+07
22.7,1.61116e+07
23.1829,1.54085e+07
23.6659,1.45603e+07
24.1489,1.41389e+07
24.6319,1.3991e+07
25.1149,1.40251e+07
25.5978,1.42895e+07
26.0808,1.44958e+07
26.5638,1.4652e+07
27.0468,1.46862e+07
27.5297,1.44315e+07
28.0127,1.39771e+07
28.4957,1.32854e+07
28.9787,1.27115e+07
29.4617,1.20789e+07
29.9446,1.18979e+07
30.4276,1.19233e+07
30.9106,1.17695e+07
31.3936,1.14089e+07
31.8765,1.08753e+07
32.3595,1.00109e+07
32.8425,8.78928e+06
33.3255,7.69536e+06
33.8085,7.5032e+06
34.2914,7.37837e+06
34.7744,7.35659e+06
35.2574,7.7797e+06
35.7404,8.21181e+06
36.2233,8.65385e+06
36.7063,9.06566e+06
37.1893,9.1754e+06
37.6723,8.95225e+06
38.1553,8.40375e+06
38.6382,7.74012e+06
39.1212,7.18987e+06
39.6042,6.81336e+06
40.0872,6.72876e+06
40.5701,6.80344e+06
41.0531,6.82989e+06
41.5361,6.63337e+06
42.0191,6.0844e+06
42.5021,5.34673e+06
42.985,4.67209e+06
43.468,4.10765e+06
43.951,3.70231e+06
44.434,3.57175e+06
44.9169,3.63789e+06
45.3999,3.76745e+06
45.8829,3.84599e+06
46.3659,3.90556e+06
46.8489,3.938e+06
47.3318,4.06747e+06
47.8148,4.14086e+06
48.2978,4.09726e+06
48.7808,4.11796e+06
49.2637,3.88584e+06
49.7467,3.36243e+06
50.2297,2.95957e+06
50.7127,2.65141e+06
51.1957,2.30303e+06
51.6786,1.96164e+06
52.1616,1.69617e+06
52.6446,1.35741e+06
53.1276,1.07542e+06
53.6106,831427
54.0935,733280
54.5765,686462
55.0595,894884
55.5425,608934
56.0254,572472
56.5084,941306
56.9914,1.08764e+06
57.4744,1.03141e+06
57.9574,891110
58.4403,450321
58.9233,200261
59.4063,226825
59.8893,435740
60.3722,672835
60.8552,842199
61.3382,780618
61.8212,807885
62.3042,918009
62.7871,1.12602e+06
63.2701,1.29579e+06
63.7531,1.45928e+06
64.2361,1.72338e+06
64.719,1.81227e+06
65.202,1.68364e+06
65.685,1.33057e+06
66.168,971215
66.651,739570
67.1339,533060
67.6169,261457
68.0999,50430.6
68.5829,-33687.3
69.0658,107048
69.5488,321990
70.0318,212306
70.5148,-87127.7
70.9978,-166589
71.4807,-94990.4
71.9637,-75844.5
72.4467,134019
72.9297,50563.4
73.4126,62016.6
73.8956,124780
74.3786,232921
74.8616,308452
75.3446,295804
75.8275,303442
76.3105,294488
76.7935,129061
77.2765,-102663
77.7594,-83066.1
78.2424,169028
78.7254,250829
79.2084,80085
79.6914,-1889.69
80.1743,84712.2
80.6573,136480
81.1403,156648
81.6233,30986.1
82.1062,-252929
82.5892,-524258
83.0722,-629400
83.5552,-334114
84.0382,-5528.81
84.5211,154149
85.0041,322770
85.4871,515890
85.9701,657485
86.453,768379
86.936,808171
87.419,845778
87.902,837677
88.385,866137
88.8679,959679
89.3509,1.05352e+06
89.8339,1.13132e+06
90.3169,1.1245e+06
90.7999,1.02562e+06
91.2828,905301
91.7658,803919
92.2488,767064
92.7318,767434
93.2147,732461
93.6977,720684
94.1807,585287
94.6637,453416
95.1467,339442
95.6296,302695
96.1126,295924
96.5956,292886
97.0786,275767
97.5615,246165
98.0445,220466
98.5275,205076
99.0105,172042
99.4935,177155
99.9764,235175
100.459,315167
100.942,393097
101.425,344496
101.908,39078.7
102.391,-219695
102.874,-230478
103.357,-168091
103.84,-122978
104.323,-74943.5
104.806,61506.2
105.289,126655
105.772,134826
106.255,-27077.7
106.738,-69629.4
107.221,-150004
107.704,-20094.3
108.187,64385.8
108.67,-17946.7
109.153,-157865
109.636,-113738
110.119,210722
110.602,475068
111.085,374242
111.568,308115
112.051,445449
112.534,514768
113.017,382380
113.5,161046
113.983,-26055.8
114.466,-161507
114.949,-161326
115.432,75658.2
115.915,460249
116.398,696864
116.881,647339
117.364,437394
117.847,480290
118.33,593578
118.813,704483
119.296,863153
119.779,828398
120.262,567659
120.744,605003
121.227,732366
121.71,695218
122.193,621426
122.676,619851
123.159,566250
123.642,434006
124.125,256961
124.608,213365
125.091,228227
125.574,70676.8
126.057,109493
126.54,234216
127.023,373430
127.506,610767
127.989,707758
128.472,622152
128.955,333480
129.438,-17624.3
129.921,-221677
130.404,-271741
130.887,-148446
131.37,-121288
131.853,-65046.8
132.336,-61934
132.819,-36163.3
133.302,45531.7
133.785,146885
134.268,236353
134.751,245770
135.234,167618
135.717,75978.4
136.2,-349.134
136.683,-60229.2
137.166,-64324.4
137.649,-3004.35
138.132,68664.6
138.615,95588.5
139.098,81704.7
139.581,69272.4
140.064,80090.5
140.547,102684
141.03,116632
141.513,105883
141.996,68459.2
142.478,23875.3
142.961,-4379.56
143.444,-10917.5
143.927,-5242.66
144.41,1141.25
