PHONON_FREQUENCY,SPECTRALFLUX_AT_POSITION_55
0,0
0.482978,14535.1
0.965956,69175.1
1.44893,129299
1.93191,205137
2.41489,333117
2.89787,529081
3.38085,774109
3.86382,1.02993e+06
4.3468,1.26504e+06
4.82978,1.47475e+06
5.31276,1.69888e+06
5.79574,2.00933e+06
6.27871,2.46928e+06
6.76169,3.11559e+06
7.24467,3.94625e+06
7.72765,4.88554e+06
8.21062,5.78379e+06
8.6936,6.50938e+06
9.17658,7.05839e+06
9.65956,7.53724e+06
10.1425,8.0406e+06
10.6255,8.58623e+06
11.1085,9.17796e+06
11.5915,9.86989e+06
12.0744,1.06912e+07
12.5574,1.15407e+07
13.0404,1.22442e+07
13.5234,1.26882e+07
14.0064,1.28503e+07
14.4893,1.28553e+07
14.9723,1.29444e+07
15.4553,1.31992e+07
15.9383,1.34303e+07
16.4212,1.34693e+07
16.9042,1.33705e+07
17.3872,1.33344e+07
17.8702,1.33696e+07
18.3532,1.34369e+07
18.8361,1.35032e+07
19.3191,1.36382e+07
19.8021,1.38956e+07
20.2851,1.44534e+07
20.7681,1.55498e+07
21.251,1.67375e+07
21.734,1.7414e+07
22.217,1.77086e+07
22.7,1.72179e+07
23.1829,1.59552e+07
23.6659,1.45731e+07
24.1489,1.37303e+07
24.6319,1.3514e+07
25.1149,1.36424e+07
25.5978,1.39838e+07
26.0808,1.43419e+07
26.5638,1.44723e+07
27.0468,1.41827e+07
27.5297,1.35222e+07
28.0127,1.31544e+07
28.4957,1.29496e+07
28.9787,1.2903e+07
29.4617,1.27502e+07
29.9446,1.22374e+07
30.4276,1.18639e+07
30.9106,1.17709e+07
31.3936,1.16171e+07
31.8765,1.13138e+07
32.3595,1.08817e+07
32.8425,1.02256e+07
33.3255,9.38006e+06
33.8085,8.75574e+06
34.2914,8.82546e+06
34.7744,8.80207e+06
35.2574,8.67347e+06
35.7404,8.62555e+06
36.2233,8.60371e+06
36.7063,8.36897e+06
37.1893,7.87446e+06
37.6723,7.23672e+06
38.1553,6.93183e+06
38.6382,6.88687e+06
39.1212,6.86044e+06
39.6042,6.84323e+06
40.0872,6.88426e+06
40.5701,6.92491e+06
41.0531,6.89505e+06
41.5361,6.71153e+06
42.0191,6.23764e+06
42.5021,5.54009e+06
42.985,4.7478e+06
43.468,3.94592e+06
43.951,3.38697e+06
44.434,3.22128e+06
44.9169,3.37929e+06
45.3999,3.51813e+06
45.8829,3.44388e+06
46.3659,3.27312e+06
46.8489,3.2288e+06
47.3318,3.27453e+06
47.8148,3.28288e+06
48.2978,3.06997e+06
48.7808,2.62782e+06
49.2637,2.40983e+06
49.7467,2.47432e+06
50.2297,2.54201e+06
50.7127,2.50768e+06
51.1957,2.21333e+06
51.6786,1.93238e+06
52.1616,1.84143e+06
52.6446,1.71576e+06
53.1276,1.50842e+06
53.6106,1.43486e+06
54.0935,1.48042e+06
54.5765,1.76281e+06
55.0595,1.80831e+06
55.5425,1.58272e+06
56.0254,1.33437e+06
56.5084,1.25854e+06
56.9914,945595
57.4744,929041
57.9574,1.45567e+06
58.4403,1.65004e+06
58.9233,1.93035e+06
59.4063,2.06486e+06
59.8893,1.6913e+06
60.3722,1.41038e+06
60.8552,1.38725e+06
61.3382,1.16164e+06
61.8212,1.08317e+06
62.3042,1.02731e+06
62.7871,881824
63.2701,643867
63.7531,739802
64.2361,989074
64.719,1.12523e+06
65.202,1.08749e+06
65.685,978821
66.168,922786
66.651,921589
67.1339,885116
67.6169,756699
68.0999,516234
68.5829,326676
69.0658,271457
69.5488,279674
70.0318,251889
70.5148,224111
70.9978,456175
71.4807,808595
71.9637,848614
72.4467,660841
72.9297,215988
73.4126,183461
73.8956,333920
74.3786,364520
74.8616,343203
75.3446,247813
75.8275,159167
76.3105,170773
76.7935,171396
77.2765,74653.5
77.7594,-219640
78.2424,-358318
78.7254,-238066
79.2084,-53595.2
79.6914,104746
80.1743,316436
80.6573,178669
81.1403,-179584
81.6233,-359568
82.1062,-140134
82.5892,289239
83.0722,472708
83.5552,428881
84.0382,434343
84.5211,496318
85.0041,380903
85.4871,15576.2
85.9701,-332861
86.453,-396175
86.936,-238316
87.419,-2167.19
87.902,235582
88.385,387434
88.8679,376379
89.3509,216124
89.8339,27387.6
90.3169,-40386.5
90.7999,49293.8
91.2828,231179
91.7658,389297
92.2488,414095
92.7318,293234
93.2147,156615
93.6977,171555
94.1807,224092
94.6637,267102
95.1467,371796
95.6296,543841
96.1126,713078
96.5956,813002
97.0786,809200
97.5615,741159
98.0445,690989
98.5275,705017
99.0105,751589
99.4935,780500
99.9764,753662
100.459,697196
100.942,610371
101.425,475505
101.908,332145
102.391,270538
102.874,204298
103.357,112348
103.84,55244.7
104.323,-17228.8
104.806,-74127.6
105.289,-116175
105.772,-175087
106.255,-297915
106.738,-202156
107.221,-41421.1
107.704,7777.22
108.187,-186239
108.67,-274119
109.153,-371262
109.636,17384
110.119,353893
110.602,402880
111.085,237344
111.568,131913
112.051,24075.5
112.534,-15500.2
113.017,121246
113.5,321622
113.983,516954
114.466,425799
114.949,151634
115.432,-71932.2
115.915,-86433.3
116.398,260362
116.881,629722
117.364,752944
117.847,782741
118.33,806955
118.813,802240
119.296,656765
119.779,357649
120.262,236653
120.744,328448
121.227,370113
121.71,411022
122.193,353386
122.676,177420
123.159,22121.2
123.642,57309.7
124.125,179680
124.608,426787
125.091,608797
125.574,637685
126.057,501394
126.54,221254
127.023,-28698.1
127.506,-172929
127.989,-215806
128.472,217658
128.955,511860
129.438,513810
129.921,498668
130.404,546535
130.887,409188
131.37,243005
131.853,205271
132.336,203430
132.819,142508
133.302,65093
133.785,11071.4
134.268,-70255.5
134.751,-169817
135.234,-238187
135.717,-249553
136.2,-185229
136.683,-73279
137.166,18701.4
137.649,64519.6
138.132,98215.8
138.615,140058
139.098,174871
139.581,188426
140.064,171392
140.547,130110
141.03,84606.1
141.513,49093.1
141.996,30046.4
142.478,29303.1
142.961,37072
143.444,38035.1
143.927,26451.4
144.41,9523.29
