PHONON_FREQUENCY,SPECTRALFLUX_AT_POSITION_199
0,0
0.482978,0.851326
0.965956,2056.63
1.44893,13940.8
1.93191,30513.6
2.41489,41094.2
2.89787,54674.6
3.38085,94609.6
3.86382,180893
4.3468,317855
4.82978,489067
5.31276,668179
5.79574,847280
6.27871,1.0532e+06
6.76169,1.32705e+06
7.24467,1.68337e+06
7.72765,2.087e+06
8.21062,2.4696e+06
8.6936,2.76997e+06
9.17658,2.96118e+06
9.65956,3.04941e+06
10.1425,3.06031e+06
10.6255,3.0307e+06
11.1085,3.0063e+06
11.5915,3.03152e+06
12.0744,3.12455e+06
12.5574,3.26197e+06
13.0404,3.39838e+06
13.5234,3.5025e+06
14.0064,3.57126e+06
14.4893,3.6204e+06
14.9723,3.67645e+06
15.4553,3.77135e+06
15.9383,3.92704e+06
16.4212,4.14065e+06
16.9042,4.38894e+06
17.3872,4.64518e+06
17.8702,4.88993e+06
18.3532,5.1122e+06
18.8361,5.30881e+06
19.3191,5.47927e+06
19.8021,5.61101e+06
20.2851,5.67293e+06
20.7681,5.64455e+06
21.251,5.56271e+06
21.734,5.52337e+06
22.217,5.61329e+06
22.7,5.83437e+06
23.1829,6.11451e+06
23.6659,6.40769e+06
24.1489,6.75128e+06
24.6319,7.17614e+06
25.1149,7.61913e+06
25.5978,8.00564e+06
26.0808,8.27087e+06
26.5638,8.44726e+06
27.0468,8.5939e+06
27.5297,8.65924e+06
28.0127,8.68698e+06
28.4957,8.6891e+06
28.9787,8.76636e+06
29.4617,8.97269e+06
29.9446,9.22383e+06
30.4276,9.36384e+06
30.9106,9.34282e+06
31.3936,9.25472e+06
31.8765,9.20112e+06
32.3595,9.26041e+06
32.8425,9.4719e+06
33.3255,9.74247e+06
33.8085,9.9322e+06
34.2914,9.96456e+06
34.7744,9.83019e+06
35.2574,9.59594e+06
35.7404,9.37579e+06
36.2233,9.25755e+06
36.7063,9.2606e+06
37.1893,9.33972e+06
37.6723,9.42187e+06
38.1553,9.48028e+06
38.6382,9.56126e+06
39.1212,9.67863e+06
39.6042,9.75727e+06
40.0872,9.80379e+06
40.5701,9.94955e+06
41.0531,1.02606e+07
41.5361,1.05511e+07
42.0191,1.05532e+07
42.5021,1.02608e+07
42.985,9.90326e+06
43.468,9.59637e+06
43.951,9.32826e+06
44.434,9.0632e+06
44.9169,8.75771e+06
45.3999,8.36759e+06
45.8829,7.89677e+06
46.3659,7.43874e+06
46.8489,7.12662e+06
47.3318,7.01462e+06
47.8148,7.01949e+06
48.2978,6.99291e+06
48.7808,6.84295e+06
49.2637,6.5898e+06
49.7467,6.33566e+06
50.2297,6.19114e+06
50.7127,6.21576e+06
51.1957,6.3807e+06
51.6786,6.60742e+06
52.1616,6.70856e+06
52.6446,6.56826e+06
53.1276,6.24217e+06
53.6106,5.84659e+06
54.0935,5.47503e+06
54.5765,5.19055e+06
55.0595,5.00631e+06
55.5425,4.89808e+06
56.0254,4.83111e+06
56.5084,4.766e+06
56.9914,4.68856e+06
57.4744,4.60058e+06
57.9574,4.61999e+06
58.4403,4.62561e+06
58.9233,4.60914e+06
59.4063,4.56676e+06
59.8893,4.51886e+06
60.3722,4.46861e+06
60.8552,4.37302e+06
61.3382,4.20389e+06
61.8212,3.9936e+06
62.3042,3.7964e+06
62.7871,3.626e+06
63.2701,3.45393e+06
63.7531,3.25105e+06
64.2361,3.02398e+06
64.719,2.8131e+06
65.202,2.69012e+06
65.685,2.70903e+06
66.168,2.79726e+06
66.651,2.86321e+06
67.1339,2.87664e+06
67.6169,2.83359e+06
68.0999,2.74599e+06
68.5829,2.65029e+06
69.0658,2.60215e+06
69.5488,2.65085e+06
70.0318,2.80499e+06
70.5148,3.01732e+06
70.9978,3.20191e+06
71.4807,3.27239e+06
71.9637,3.18563e+06
72.4467,2.97826e+06
72.9297,2.77146e+06
73.4126,2.68312e+06
73.8956,2.69e+06
74.3786,2.78708e+06
74.8616,2.98662e+06
75.3446,3.19071e+06
75.8275,3.33981e+06
76.3105,3.3895e+06
76.7935,3.26278e+06
77.2765,3.18382e+06
77.7594,3.2184e+06
78.2424,3.22683e+06
78.7254,3.1041e+06
79.2084,2.89033e+06
79.6914,2.72211e+06
80.1743,2.63124e+06
80.6573,2.56823e+06
81.1403,2.47914e+06
81.6233,2.32733e+06
82.1062,2.10037e+06
82.5892,1.82479e+06
83.0722,1.5625e+06
83.5552,1.36863e+06
84.0382,1.26037e+06
84.5211,1.20473e+06
85.0041,1.14525e+06
85.4871,1.05612e+06
85.9701,931708
86.453,781314
86.936,618393
87.419,459757
87.902,353177
88.385,362351
88.8679,431115
89.3509,602586
89.8339,896257
90.3169,918269
90.7999,1.09691e+06
91.2828,1.58518e+06
91.7658,1.98177e+06
92.2488,1.15708e+06
92.7318,675414
93.2147,476887
93.6977,767723
94.1807,961095
94.6637,1.01938e+06
95.1467,949952
95.6296,883834
96.1126,687308
96.5956,500533
97.0786,403777
97.5615,367169
98.0445,330074
98.5275,611348
99.0105,1.08994e+06
99.4935,1.50753e+06
99.9764,1.83892e+06
100.459,2.09971e+06
100.942,2.23981e+06
101.425,2.27086e+06
101.908,2.22717e+06
102.391,2.18674e+06
102.874,2.24047e+06
103.357,2.38721e+06
103.84,2.57464e+06
104.323,2.72783e+06
104.806,2.76666e+06
105.289,2.66618e+06
105.772,2.45922e+06
106.255,2.20852e+06
106.738,1.96965e+06
107.221,1.77954e+06
107.704,1.65714e+06
108.187,1.6333e+06
108.67,1.73771e+06
109.153,1.93356e+06
109.636,2.11327e+06
110.119,2.09564e+06
110.602,1.83592e+06
111.085,1.49049e+06
111.568,1.18256e+06
112.051,868761
112.534,449648
113.017,53873.8
113.5,-74862.1
113.983,-125451
114.466,-65854.5
114.949,-14163
115.432,-450.757
115.915,209.256
116.398,42.2351
116.881,4.70145
117.364,0.345431
117.847,0.0173562
118.33,0.000603039
118.813,1.47523e-05
119.296,2.83467e-07
119.779,6.14831e-09
